delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
493489-1698421-270180-133098-1035406-1713020-93824-24662,52972-326591-42356-183130-202458-370652-50585-25113,15150-75267-6420-47181-13915-100435-1002-9789,8715-70396-7977-31062-6917-48926-6340-2785,8007-45199-7069-5321-15085-36345-3698-1547,11243-55470-11980-4244-32162-64681-6734-5012,2384-53061-10648-10685-57991-14248-1954-2272,3352-26815-6637-2645-10492-11589-2895-2281,easy
1698421-270180-133098-1035406-1713020-93824-24662-98069,326591-42356-183130-202458-370652-50585-25113-12843,75267-6420-47181-13915-100435-1002-9789-4919,70396-7977-31062-6917-48926-6340-2785-1534,45199-7069-5321-15085-36345-3698-1547-1022,55470-11980-4244-32162-64681-6734-5012-1294,53061-10648-10685-57991-14248-1954-2272-1911,26815-6637-2645-10492-11589-2895-2281-503,easy
270180-133098-1035406-1713020-93824-24662-98069-526088,42356-183130-202458-370652-50585-25113-12843-60708,6420-47181-13915-100435-1002-9789-4919-16835,7977-31062-6917-48926-6340-2785-1534-34736,7069-5321-15085-36345-3698-1547-1022-9118,11980-4244-32162-64681-6734-5012-1294-21302,10648-10685-57991-14248-1954-2272-1911-9054,6637-2645-10492-11589-2895-2281-503-4189,easy
133098-1035406-1713020-93824-24662-98069-526088-41977,183130-202458-370652-50585-25113-12843-60708-34222,47181-13915-100435-1002-9789-4919-16835-11911,31062-6917-48926-6340-2785-1534-34736-6255,5321-15085-36345-3698-1547-1022-9118-4998,4244-32162-64681-6734-5012-1294-21302-5294,10685-57991-14248-1954-2272-1911-9054-1366,2645-10492-11589-2895-2281-503-4189-2700,easy
1035406-1713020-93824-24662-98069-526088-41977-555300,202458-370652-50585-25113-12843-60708-34222-63931,13915-100435-1002-9789-4919-16835-11911-12177,6917-48926-6340-2785-1534-34736-6255-8287,15085-36345-3698-1547-1022-9118-4998-11347,32162-64681-6734-5012-1294-21302-5294-18571,57991-14248-1954-2272-1911-9054-1366-10225,10492-11589-2895-2281-503-4189-2700-10374,easy
1713020-93824-24662-98069-526088-41977-555300-27456,370652-50585-25113-12843-60708-34222-63931-20274,100435-1002-9789-4919-16835-11911-12177-7739,48926-6340-2785-1534-34736-6255-8287-3230,36345-3698-1547-1022-9118-4998-11347-4296,64681-6734-5012-1294-21302-5294-18571-6443,14248-1954-2272-1911-9054-1366-10225-3599,11589-2895-2281-503-4189-2700-10374-1208,easy
93824-24662-98069-526088-41977-555300-27456-105597,50585-25113-12843-60708-34222-63931-20274-75257,1002-9789-4919-16835-11911-12177-7739-32989,6340-2785-1534-34736-6255-8287-3230-27206,3698-1547-1022-9118-4998-11347-4296-8239,6734-5012-1294-21302-5294-18571-6443-5297,1954-2272-1911-9054-1366-10225-3599-5335,2895-2281-503-4189-2700-10374-1208-3275,easy
24662-98069-526088-41977-555300-27456-105597-1066477,25113-12843-60708-34222-63931-20274-75257-92291,9789-4919-16835-11911-12177-7739-32989-8384,2785-1534-34736-6255-8287-3230-27206-6730,1547-1022-9118-4998-11347-4296-8239-4792,5012-1294-21302-5294-18571-6443-5297-9083,2272-1911-9054-1366-10225-3599-5335-4242,2281-503-4189-2700-10374-1208-3275-1394,hard
98069-526088-41977-555300-27456-105597-1066477-575249,12843-60708-34222-63931-20274-75257-92291-25550,4919-16835-11911-12177-7739-32989-8384-6380,1534-34736-6255-8287-3230-27206-6730-5494,1022-9118-4998-11347-4296-8239-4792-18492,1294-21302-5294-18571-6443-5297-9083-28219,1911-9054-1366-10225-3599-5335-4242-24535,503-4189-2700-10374-1208-3275-1394-5439,easy
526088-41977-555300-27456-105597-1066477-575249-726474,60708-34222-63931-20274-75257-92291-25550-157464,16835-11911-12177-7739-32989-8384-6380-62362,34736-6255-8287-3230-27206-6730-5494-9501,9118-4998-11347-4296-8239-4792-18492-12292,21302-5294-18571-6443-5297-9083-28219-37623,9054-1366-10225-3599-5335-4242-24535-10427,4189-2700-10374-1208-3275-1394-5439-27725,easy
41977-555300-27456-105597-1066477-575249-726474-4825,34222-63931-20274-75257-92291-25550-157464-12043,11911-12177-7739-32989-8384-6380-62362-18098,6255-8287-3230-27206-6730-5494-9501-14004,4998-11347-4296-8239-4792-18492-12292-7466,5294-18571-6443-5297-9083-28219-37623-24331,1366-10225-3599-5335-4242-24535-10427-38977,2700-10374-1208-3275-1394-5439-27725-10223,easy
555300-27456-105597-1066477-575249-726474-4825-962779,63931-20274-75257-92291-25550-157464-12043-39976,12177-7739-32989-8384-6380-62362-18098-15234,8287-3230-27206-6730-5494-9501-14004-7704,11347-4296-8239-4792-18492-12292-7466-10024,18571-6443-5297-9083-28219-37623-24331-8098,10225-3599-5335-4242-24535-10427-38977-5912,10374-1208-3275-1394-5439-27725-10223-3156,easy
27456-105597-1066477-575249-726474-4825-962779-550036,20274-75257-92291-25550-157464-12043-39976-27990,7739-32989-8384-6380-62362-18098-15234-10847,3230-27206-6730-5494-9501-14004-7704-6314,4296-8239-4792-18492-12292-7466-10024-3239,6443-5297-9083-28219-37623-24331-8098-6416,3599-5335-4242-24535-10427-38977-5912-3677,1208-3275-1394-5439-27725-10223-3156-2867,easy
105597-1066477-575249-726474-4825-962779-550036-148834,75257-92291-25550-157464-12043-39976-27990-10657,32989-8384-6380-62362-18098-15234-10847-3071,27206-6730-5494-9501-14004-7704-6314-3515,8239-4792-18492-12292-7466-10024-3239-3217,5297-9083-28219-37623-24331-8098-6416-3906,5335-4242-24535-10427-38977-5912-3677-542,3275-1394-5439-27725-10223-3156-2867-536,easy
1066477-575249-726474-4825-962779-550036-148834-57986,92291-25550-157464-12043-39976-27990-10657-9783,8384-6380-62362-18098-15234-10847-3071-10242,6730-5494-9501-14004-7704-6314-3515-1376,4792-18492-12292-7466-10024-3239-3217-4515,9083-28219-37623-24331-8098-6416-3906-3998,4242-24535-10427-38977-5912-3677-542-1204,1394-5439-27725-10223-3156-2867-536-1765,hard
575249-726474-4825-962779-550036-148834-57986-2189800,25550-157464-12043-39976-27990-10657-9783-422543,6380-62362-18098-15234-10847-3071-10242-24006,5494-9501-14004-7704-6314-3515-1376-66608,18492-12292-7466-10024-3239-3217-4515-26317,28219-37623-24331-8098-6416-3906-3998-16562,24535-10427-38977-5912-3677-542-1204-13372,5439-27725-10223-3156-2867-536-1765-9709,easy
726474-4825-962779-550036-148834-57986-2189800-1684164,157464-12043-39976-27990-10657-9783-422543-266141,62362-18098-15234-10847-3071-10242-24006-72652,9501-14004-7704-6314-3515-1376-66608-19006,12292-7466-10024-3239-3217-4515-26317-14994,37623-24331-8098-6416-3906-3998-16562-10456,10427-38977-5912-3677-542-1204-13372-7008,27725-10223-3156-2867-536-1765-9709-5946,easy
4825-962779-550036-148834-57986-2189800-1684164-14538,12043-39976-27990-10657-9783-422543-266141-15121,18098-15234-10847-3071-10242-24006-72652-10796,14004-7704-6314-3515-1376-66608-19006-3573,7466-10024-3239-3217-4515-26317-14994-10474,24331-8098-6416-3906-3998-16562-10456-16272,38977-5912-3677-542-1204-13372-7008-15496,10223-3156-2867-536-1765-9709-5946-7821,easy
962779-550036-148834-57986-2189800-1684164-14538-193422,39976-27990-10657-9783-422543-266141-15121-19275,15234-10847-3071-10242-24006-72652-10796-2567,7704-6314-3515-1376-66608-19006-3573-2182,10024-3239-3217-4515-26317-14994-10474-2382,8098-6416-3906-3998-16562-10456-16272-3844,5912-3677-542-1204-13372-7008-15496-3187,3156-2867-536-1765-9709-5946-7821-5218,easy
550036-148834-57986-2189800-1684164-14538-193422-163126,27990-10657-9783-422543-266141-15121-19275-35939,10847-3071-10242-24006-72652-10796-2567-6886,6314-3515-1376-66608-19006-3573-2182-5760,3239-3217-4515-26317-14994-10474-2382-4774,6416-3906-3998-16562-10456-16272-3844-3664,3677-542-1204-13372-7008-15496-3187-3091,2867-536-1765-9709-5946-7821-5218-1438,easy
148834-57986-2189800-1684164-14538-193422-163126-1507838,10657-9783-422543-266141-15121-19275-35939-260566,3071-10242-24006-72652-10796-2567-6886-169341,3515-1376-66608-19006-3573-2182-5760-57673,3217-4515-26317-14994-10474-2382-4774-29482,3906-3998-16562-10456-16272-3844-3664-22789,542-1204-13372-7008-15496-3187-3091-29020,536-1765-9709-5946-7821-5218-1438-11314,easy
57986-2189800-1684164-14538-193422-163126-1507838-9088,9783-422543-266141-15121-19275-35939-260566-9476,10242-24006-72652-10796-2567-6886-169341-7460,1376-66608-19006-3573-2182-5760-57673-6310,4515-26317-14994-10474-2382-4774-29482-3771,3998-16562-10456-16272-3844-3664-22789-5241,1204-13372-7008-15496-3187-3091-29020-8305,1765-9709-5946-7821-5218-1438-11314-2055,easy
