delta_2,theta_2,lowalpha_2,highalpha_2,lowbeta_2,highbeta_2,lowgamma_2,midgamma_2,delta_3,theta_3,lowalpha_3,highalpha_3,lowbeta_3,highbeta_3,lowgamma_3,midgamma_3,delta_4,theta_4,lowalpha_4,highalpha_4,lowbeta_4,highbeta_4,lowgamma_4,midgamma_4,delta_5,theta_5,lowalpha_5,highalpha_5,lowbeta_5,highbeta_5,lowgamma_5,midgamma_5,delta_6,theta_6,lowalpha_6,highalpha_6,lowbeta_6,highbeta_6,lowgamma_6,midgamma_6,delta_7,theta_7,lowalpha_7,highalpha_7,lowbeta_7,highbeta_7,lowgamma_7,midgamma_7,state
299932,120857,16747992,13306,20872,31017,26151,7131,125358,16762913,16747590,20267,2425,6541,3360,4141,60583,71226,10590,9969,5843,3341,2364,2449,55814,16746377,7095,8237,2619,10647,2473,2144,646557,27228,7155,14662,3197,4818,3874,2012,33111,6654,1179,623,1893,433,686,126,easy
60583,71226,10590,9969,5843,3341,2364,2449,55814,16746377,7095,8237,2619,10647,2473,2144,646557,27228,7155,14662,3197,4818,3874,2012,33111,6654,1179,623,1893,433,686,126,28822,1923,2197,3237,736,928,883,941,83881,16752263,12145,2544,30380,9371,5003,1233,diff
83881,16752263,12145,2544,30380,9371,5003,1233,6482,13564,814,15747,5559,20258,7261,1976,20994,32122,18030,7810,6388,7905,5167,5518,92775,137393,10109,18289,5119,7626,2517,3348,9521,88098,8379,7801,2160,8616,3887,7509,13903,16761644,8409,5004,10575,7235,3065,5410,diff
224819,75354,6099,11922,3619,6395,4801,3472,83100,30273,10284,8092,6776,2921,3147,2700,32738,11626,6855,2046,853,952,2713,2108,1700534,342033,89644,11800,16761849,16745815,18269,27325,324127,16767504,6996,15522,2922,11533,7072,2754,75319,8123,1926,433,1497,2645,1343,379,diff
324127,16767504,6996,15522,2922,11533,7072,2754,75319,8123,1926,433,1497,2645,1343,379,16763735,15185,2850,3366,3676,3376,514,410,16770560,16746430,3368,4588,2066,2271,1248,3363,16773904,13016,1509,661,1180,2567,1552,930,68766,10932,770,1200,791,607,141,167,diff
27986,16772766,24943,17499,16746076,14549,6843,1679,56470,6128,3679,3855,2540,1912,846,397,32841,31001,7945,6607,8769,4462,4649,4226,16756786,10779,1704,2857,12919,21180,3629,1820,95039,12837,378,9008,3894,2260,782,1048,237598,16775361,16761384,6018,13207,9089,2328,2086,easy
242777,31801,11416,5826,913,2660,2737,1419,390756,73181,23215,1429,4507,11861,23316,5063,13681,19764,9127,4767,12518,29380,12650,14478,4837,9564,11419,17860,13651,16746557,12064,19010,29527,68486,8849,8826,6513,9014,5282,3312,16770394,13782,4253,2777,3244,1414,2510,1072,diff
29527,68486,8849,8826,6513,9014,5282,3312,16770394,13782,4253,2777,3244,1414,2510,1072,87654,16751625,7845,5943,17709,2505,2642,1274,670446,62645,16760978,27078,13689,31267,19337,8542,188687,16756215,16757143,25472,28182,16748193,12340,9047,108289,6796,3269,7607,3204,5622,1869,1056,easy
242973,24690,4807,1274,2562,6383,2887,2313,23423,16762402,16771570,12010,6537,11637,9312,14708,40208,65394,75076,16749133,23517,16760480,26077,17593,526033,12613,6791,10262,10560,6504,3883,4985,32192,17905,24289,20495,32043,16746865,15415,8016,92506,6193,945,10351,4983,2230,1806,1182,easy
526033,12613,6791,10262,10560,6504,3883,4985,32192,17905,24289,20495,32043,16746865,15415,8016,92506,6193,945,10351,4983,2230,1806,1182,3502,16105,11966,10104,11825,15271,6132,4567,16772193,51893,16750261,6361,21740,29399,11553,4230,16749536,22909,8435,17293,8592,10233,10162,4474,diff
