delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
451946-999791-1638097-258165-133372-540127-1656501-560360,681424-1043310-447741-134328-41723-107886-345784-19723,33984-305103-58160-25813-8884-21009-41439-35884,106077-83829-18264-25583-3294-46946-114093-4327,26738-150656-21490-8242-9898-35897-19962-6125,70011-87358-42303-10323-5783-28875-55039-8093,33867-74976-51127-8121-11621-25421-35326-3971,73799-112984-37137-3196-5706-29429-33733-1853,easy
999791-1638097-258165-133372-540127-1656501-560360-956043,1043310-447741-134328-41723-107886-345784-19723-603822,305103-58160-25813-8884-21009-41439-35884-123075,83829-18264-25583-3294-46946-114093-4327-79568,150656-21490-8242-9898-35897-19962-6125-31107,87358-42303-10323-5783-28875-55039-8093-98344,74976-51127-8121-11621-25421-35326-3971-73793,112984-37137-3196-5706-29429-33733-1853-52470,easy
1638097-258165-133372-540127-1656501-560360-956043-1332768,447741-134328-41723-107886-345784-19723-603822-1266917,58160-25813-8884-21009-41439-35884-123075-236965,18264-25583-3294-46946-114093-4327-79568-159918,21490-8242-9898-35897-19962-6125-31107-120703,42303-10323-5783-28875-55039-8093-98344-130154,51127-8121-11621-25421-35326-3971-73793-230024,37137-3196-5706-29429-33733-1853-52470-171679,easy
258165-133372-540127-1656501-560360-956043-1332768-660280,134328-41723-107886-345784-19723-603822-1266917-78499,25813-8884-21009-41439-35884-123075-236965-14871,25583-3294-46946-114093-4327-79568-159918-5530,8242-9898-35897-19962-6125-31107-120703-1182,10323-5783-28875-55039-8093-98344-130154-6811,8121-11621-25421-35326-3971-73793-230024-4876,3196-5706-29429-33733-1853-52470-171679-4721,easy
133372-540127-1656501-560360-956043-1332768-660280-1015671,41723-107886-345784-19723-603822-1266917-78499-81630,8884-21009-41439-35884-123075-236965-14871-65585,3294-46946-114093-4327-79568-159918-5530-19192,9898-35897-19962-6125-31107-120703-1182-28770,5783-28875-55039-8093-98344-130154-6811-14026,11621-25421-35326-3971-73793-230024-4876-39065,5706-29429-33733-1853-52470-171679-4721-12229,easy
540127-1656501-560360-956043-1332768-660280-1015671-376455,107886-345784-19723-603822-1266917-78499-81630-67537,21009-41439-35884-123075-236965-14871-65585-23353,46946-114093-4327-79568-159918-5530-19192-13716,35897-19962-6125-31107-120703-1182-28770-17597,28875-55039-8093-98344-130154-6811-14026-27171,25421-35326-3971-73793-230024-4876-39065-12476,29429-33733-1853-52470-171679-4721-12229-4653,easy
1656501-560360-956043-1332768-660280-1015671-376455-82213,345784-19723-603822-1266917-78499-81630-67537-50101,41439-35884-123075-236965-14871-65585-23353-9007,114093-4327-79568-159918-5530-19192-13716-7581,19962-6125-31107-120703-1182-28770-17597-8318,55039-8093-98344-130154-6811-14026-27171-1848,35326-3971-73793-230024-4876-39065-12476-8350,33733-1853-52470-171679-4721-12229-4653-2364,easy
560360-956043-1332768-660280-1015671-376455-82213-502707,19723-603822-1266917-78499-81630-67537-50101-86026,35884-123075-236965-14871-65585-23353-9007-14289,4327-79568-159918-5530-19192-13716-7581-6397,6125-31107-120703-1182-28770-17597-8318-10349,8093-98344-130154-6811-14026-27171-1848-6219,3971-73793-230024-4876-39065-12476-8350-18101,1853-52470-171679-4721-12229-4653-2364-8598,easy
956043-1332768-660280-1015671-376455-82213-502707-218558,603822-1266917-78499-81630-67537-50101-86026-19703,123075-236965-14871-65585-23353-9007-14289-12636,79568-159918-5530-19192-13716-7581-6397-8663,31107-120703-1182-28770-17597-8318-10349-4858,98344-130154-6811-14026-27171-1848-6219-8654,73793-230024-4876-39065-12476-8350-18101-11199,52470-171679-4721-12229-4653-2364-8598-2173,easy
1332768-660280-1015671-376455-82213-502707-218558-241310,1266917-78499-81630-67537-50101-86026-19703-28597,236965-14871-65585-23353-9007-14289-12636-14549,159918-5530-19192-13716-7581-6397-8663-5350,120703-1182-28770-17597-8318-10349-4858-3667,130154-6811-14026-27171-1848-6219-8654-6046,230024-4876-39065-12476-8350-18101-11199-2849,171679-4721-12229-4653-2364-8598-2173-3074,easy
