delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_max,theta_max,lowalpha_max,highalpha_max,lowbeta_max,highbeta_max,lowgamma_max,midgamma_max,delta_min,theta_min,lowalpha_min,highalpha_min,lowbeta_min,highbeta_min,lowgamma_min,midgamma_min,state
614688,70143,10526,14634,13373,18806,19117,12729,2696321,233615,24483,46205,36191,51127,60891,46314,9777,8047,3161,2376,832,3093,1616,1375,0
467147,78041,16420,9996,15351,31607,25288,18744,1240897,141893,33310,15996,35679,68294,54775,38858,92264,15318,809,2985,1911,4453,4730,3099,0
571813,98908,13358,14265,8976,26468,12557,11637,1674310,227852,29239,65522,18934,79828,30403,39184,2520,17927,1909,1026,1858,3902,1371,1211,1
526553,94093,16913,10231,11101,24766,27527,12981,1243920,177421,29244,23183,18994,50526,79280,35620,137155,19448,1857,1941,1615,3149,1911,1035,1
400908,77640,16914,23075,16130,30705,25135,12797,1048629,179256,36689,53964,40744,76252,71902,23054,149395,33077,6473,3241,1360,7429,6994,4104,0
1035366,191438,48950,31245,30076,54296,53095,22982,1635314,331508,140074,70041,52411,83575,90006,41060,39586,6930,9260,2113,5515,10353,16354,6833,1
743869,156655,11035,12890,14672,22115,45412,16321,2125721,426494,30397,32148,38647,65090,157191,51020,64978,20350,4624,2276,2473,6462,2740,1753,1
709728,210808,37886,20696,18241,52712,38230,33233,1653987,364177,62983,39403,54540,121485,83874,72788,134066,55688,12846,5460,6790,13895,9368,7807,1
1018465,227647,43865,31858,26606,51532,32983,27489,1911495,365580,90081,73178,50670,83887,51888,61405,152828,78391,12399,13290,3425,10940,11757,11482,0
1263047,192934,40113,31920,36791,49666,42121,21275,2862058,466195,89981,67856,86921,102663,112130,41242,218952,95738,9725,4315,8549,19438,5640,6245,0
460825,143808,48509,33266,27164,43026,27992,22507,1893022,525629,130708,99896,44116,127153,53107,62281,2187,12905,3414,3803,18819,8530,7631,4881,0
