delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
9804,17635,8151,14184,7246,6916,4208,2730,41858,14614,-500,-5588,-4134,-4805,54,-1352,9180,-10387,9962,11302,1252,-4760,-2437,-802,3485,-8404,-7542,11004,-3021,-4433,-691,-1166,easy
132596,25591,3954,7914,6593,5764,5505,7130,143309,3897,812,24023,15382,9864,15865,8751,-97445,8680,938,12263,27393,13400,3430,-2742,41072,19349,10624,-2744,-3481,-1545,-2661,-4970,difficult
96708,27468,6746,19243,7157,5900,4706,3692,52161,-20648,-3287,-12997,-4020,-1685,-2387,2652,115967,60406,6312,-10592,1052,-25,-919,-1838,450181,16469,2372,-4067,-54,2651,7045,3417,easy
71890,33981,3720,6369,1934,4369,1703,1927,32289,-22416,-1821,-3818,2072,-1702,647,-846,-64476,-22855,416,-625,6944,2123,5960,647,13913,-29266,-2519,-2934,646,-2317,150,-66,difficult
113373,30414,7243,5241,2425,2792,1985,1486,-67625,-11282,3896,114,-294,-1307,348,153,-61033,-11862,-2844,-1837,954,268,113,283,-93277,-26675,-3629,4641,58,4602,561,2892,easy
441247,63490,17229,11854,4674,3926,6408,3413,81084,-50041,-3506,3133,2684,757,-3048,-1070,-227373,-44107,2763,8127,-2393,4093,-3027,-356,-429166,-58096,-16431,-8407,4392,4256,-1089,-353,difficult
909293,191861,24537,45057,32616,20107,19726,12124,609692,-45563,-5927,-36031,-11949,11370,-7072,746,-679902,-126599,-22734,-4989,-25232,-7247,-12297,-4494,-904136,-182214,-19402,-12744,-26362,-9821,-15501,-8464,easy
331862,99695,17705,22481,9043,22859,13730,10021,-257458,-6673,-16441,-12784,18398,-10530,17241,1876,-249586,-69816,-12528,-17597,-7028,-19210,-12463,-8824,-201168,-15832,-8673,-19143,-5893,-20755,-10880,-9251,difficult
947288,264184,70109,65835,23787,37065,22411,14745,-58887,-48485,-61532,-41617,-15415,-12176,-13256,-220,1188933,-5671,-38360,-59491,-18528,-28088,-18808,-9563,-492503,-222278,-69512,-65285,-17894,-34441,-21039,-13997,easy
1790513,133247,32533,48521,44089,75844,87712,32149,-1459121,-40109,-19202,15704,77719,-58289,-75608,-24614,-1703735,-112034,-3960,-39964,-13225,-54847,-64078,-23177,-1767762,-113055,-29221,-35995,-34102,-71113,-82985,-27675,difficult
48599,14625,7165,8574,3891,4451,2302,2683,-7311,2017,3354,-7868,-3092,-3234,-422,-2122,-15668,13653,-3687,-5983,-2139,-2410,-344,-2167,8034,6320,-6075,-6351,-3643,-2426,-928,-1707,easy
41817,19774,8147,21124,6245,10829,12594,3155,227357,-7187,-7899,-17654,-3369,-9613,-10214,-1842,416461,160842,4081,-8259,379,-4821,-4053,331,5444,7097,1349,-17531,-2806,-9350,-11162,-1530,difficult
36720,7695,2877,9146,5763,7368,4187,7191,46256,76334,23055,26118,10833,5467,-1458,-2550,-1310,26879,21857,-5463,-1917,-5595,-2989,-6126,189427,19330,62624,24671,19102,7284,-279,-1016,easy
234324,117159,4750,12609,9197,11448,12490,7715,-218899,-106819,1443,-4396,-3601,-5388,-6769,482,-189442,-89173,6331,-10037,-7327,-9656,-11379,-6632,-200234,-108318,13,-9131,-8556,-8061,-11664,-6487,difficult
486885,72654,14741,7983,3344,6233,9418,4570,-355747,-26872,5917,5857,-430,-3003,-5284,-2607,-298845,134790,44604,10,1897,10109,675,902,-158891,-49176,-9661,-5421,-2433,-5271,-7614,-3788,easy
64789,28017,2961,6436,2379,2389,2200,1247,3811,11304,3433,-3230,-868,806,-1060,-814,344779,5672,3303,-2425,-487,2064,971,720,193870,101400,11276,-3957,3359,3082,210,-509,difficult
104020,25454,1183,8937,10322,3381,4451,7839,-42230,-8940,4673,-8262,-9657,-2925,-4206,-7219,-55918,-19674,2392,-5909,-8828,-2376,-3755,-6815,728678,48412,80793,134217,90328,26150,53872,11411,easy
239387,23891,8665,4952,4543,7794,2970,2224,-3329,-16779,-4051,-2434,-1484,-5534,-728,-1408,1221386,130800,19194,21472,3250,10537,5540,487,-147972,7768,-4904,-2865,-3405,-4629,-2185,-1585,difficult
103997,65808,29539,9735,12050,10060,9156,4569,-98767,-50165,-27316,3185,-2938,-693,-4194,-336,44415,14445,-13627,-4869,-7979,-2110,-3464,2921,126774,-27232,-28095,-2943,-2076,-6632,-2678,-649,easy
209927,65809,17468,20634,17161,9723,4461,4959,-184345,-58804,-14383,-18966,-16163,-8902,-3729,-4798,710346,183587,-8395,-9418,-4348,9454,2800,677,1637172,34517,9059,-2903,-3901,2890,820,-709,difficult
76613,30815,16761,5048,10523,6539,7032,3579,201061,14788,-14050,-3149,-4992,-1897,-4288,-2017,-67657,-11643,-16569,-590,-6250,-1980,199,2342,-72180,-14026,-10527,-2227,-6751,-101,-520,-881,easy
