delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
947288,264184,70109,65835,23787,37065,22411,14745,-58887,-48485,-61532,-41617,-15415,-12176,-13256,-220,1188933,-5671,-38360,-59491,-18528,-28088,-18808,-9563,-492503,-222278,-69512,-65285,-17894,-34441,-21039,-13997,-666278,-259581,-64949,-63444,-21285,-35015,-21535,-14006,-764699,-194908,-64079,-62888,-21267,-35320,-21649,-14106,easy
371877,105855,12899,9852,7222,9358,6691,4730,150527,418317,276798,338844,169694,98575,87646,22345,-92352,-79211,-8026,-3636,-4126,-6912,-5284,-3436,-366603,-97685,-6073,-3546,-5716,240,10646,-1557,-305466,-84886,-10269,-7112,-5685,-8001,-5092,-3109,-299678,-80538,-8393,-7933,-6991,-6675,-4917,-2860,difficult
48599,14625,7165,8574,3891,4451,2302,2683,-7311,2017,3354,-7868,-3092,-3234,-422,-2122,-15668,13653,-3687,-5983,-2139,-2410,-344,-2167,8034,6320,-6075,-6351,-3643,-2426,-928,-1707,4730,-2974,12091,-3724,2303,3611,1112,-695,16767,-7049,-3520,-3787,-168,-2967,-1740,-1312,easy
52125,21610,7104,6232,6094,3694,2004,2758,30111,47121,-5581,-4834,-869,-936,868,-57,97927,30041,-6319,-3897,-4080,840,91,-1622,-45900,-8179,-4151,-4318,-4228,5659,2632,2590,173725,-10367,2247,-1463,-4087,249,225,-1926,15577,-14595,-4473,-4768,-3430,-1762,-948,-873,difficult
218581,189830,29588,31897,12782,36886,36672,7915,-215085,-188454,-27927,-28982,-11243,-32668,-35195,-4972,-98062,-169447,5874,-871,-6126,-25527,-25468,-2326,-9516,-97530,-14747,-18121,-10385,-34114,-34086,-6081,618285,-102669,-21546,-17113,160,-27907,-24571,-2596,-110081,-156547,-20264,-20575,-7284,-26808,-30650,-2129,easy
132462,41560,8490,6414,4944,5167,3243,3224,324969,-21930,-1995,20090,593,503,3986,-127,182268,-28318,-3635,1587,-187,9683,2450,2444,-122076,-38309,-7953,-4214,-3818,-2137,-1938,-1636,-93182,-25409,-7201,5955,-2822,-892,449,271,-120916,-20504,-116,-61,2014,1057,-858,31,difficult
132606,17842,8184,4363,3969,3511,2108,1551,-90041,-2964,3378,-670,-1526,-2593,-1369,-653,-99395,713,-7030,-1548,-3241,-588,-1455,-1063,-129555,-15167,-465,125,120,5902,3414,916,-104618,2904,-4084,-3310,-3224,-1636,-1623,-680,-98579,-8249,831,-2834,-2130,-1963,-913,-575,easy
454474,21799,11985,10667,11344,8763,10151,3973,-381889,-4779,-4672,-8451,-8107,-4083,-8468,-91,-301266,-2471,-6797,314,-2137,4027,-3571,394,-426105,-3008,-10317,1388,-6922,-4469,-6543,1346,-432243,-7707,-3123,-8895,-3625,-5368,-7513,488,-397809,39712,-6761,-9997,-9204,-7569,-9050,-3135,difficult
27699,25064,9285,5049,6934,7739,4044,5053,-14473,-8766,-5942,-1181,-2761,-423,4147,-1756,25254,3751,-2147,481,-3358,-5250,-3122,-4046,-25967,-21493,-3774,1328,1499,-152,2736,-1690,-1579,-886,10354,2137,-5799,-5023,-2398,-3836,118714,-7330,-77,4478,-639,-5243,-2036,-3990,easy
218125,153388,8465,4744,4438,8466,2755,3018,-162477,-146259,-5659,665,-1233,-7383,-2129,-1626,-128200,-115607,-1382,1177,9861,-3680,433,-1084,-208796,-131824,21549,65423,-1896,-4437,2797,-829,-213947,-148606,-7294,-1965,-3440,-7893,-2115,-2576,-109739,-89292,-2454,4382,-1340,1307,5688,4163,difficult
