delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1322536,109316,27077,19126,7364,30537,19119,13286,-1189188,-94225,-19601,-13931,-1849,-22840,-12808,-5652,-914216,-7088,-22639,-5130,-3963,-21103,-8387,-2133,-1272053,-21032,-22483,-1466,47477,-16998,5019,1773,difficult
1499321,297044,258294,61843,102784,91705,109344,59525,-1290654,-268481,-255377,-55916,-98426,-80894,-104000,-54802,-971753,-255184,-238886,-48528,-92129,-80315,-89222,-54877,-270159,-3723,-220372,-32250,-83503,-32333,-67957,-38755,easy
692565,71300,19760,15360,26593,17361,27317,13067,1655503,437994,38010,14482,88405,69372,247,55426,220025,236162,-2562,26627,-3026,3193,14741,4441,-567130,417574,20020,58782,10458,3769,5653,295,difficult
1213973,115474,18559,20439,17239,25706,25988,29152,316004,975684,-2301,101754,41001,10650,110767,24774,-1094661,-91725,-15843,-18576,8065,-20237,-10837,-23030,-1160335,-46960,-9220,-13831,-15229,-21061,-18900,-26596,easy
635744,87420,41342,16644,9681,18130,32699,17031,-22245,88769,-35551,44779,18810,33681,-15844,3424,1214077,61853,-13336,93034,-1358,56628,10971,-5362,-438067,344,-22131,11204,14667,2087,-23357,-11605,difficult
263090,61243,14713,32892,10875,8958,5423,6388,-254774,-38766,-11049,-28943,-5148,6694,9070,2824,685844,258967,-6182,-19253,16101,7370,7665,961,-70638,-36065,-11988,-30415,-4846,-6182,-3903,-4473,easy
1303723,163651,320603,78736,37934,104798,45599,50441,2217971,-99929,-255139,-51944,5914,-82276,-36261,-24251,-561982,-87039,-311300,-67309,-33564,-95343,-39523,-45773,-1070344,-52146,-198398,-51176,16829,-39371,-6141,-36654,difficult
272688,63207,21465,34166,13952,10437,6041,7250,484129,-5359,4001,-16869,118,7148,-552,-1008,-110724,-13773,5552,-22182,-3926,10867,37022,27578,789060,47422,-17909,-13131,3143,17580,5751,7915,easy
486106,255703,34364,14409,25186,42124,85459,26540,882874,45522,-3227,63204,28288,91872,-9787,16547,146125,-190991,-12583,25873,-1126,-15196,-69561,-16544,2474138,184285,170738,-4082,11421,2339,-62508,-13889,difficult
344204,47767,19630,33311,7041,8016,5262,5385,-265544,-42948,-18562,-26206,-4860,-2606,961,-3274,-310427,-27962,-16989,-31036,-4306,-6939,-4803,-4924,-281211,-37628,-19227,-32835,-5903,-7158,-4556,-4783,easy
1061295,242111,83757,21579,26039,51534,46015,25122,511430,-89224,-65782,15251,-12489,-18657,-15499,-16312,-418699,-91057,-58277,-6414,-8877,-19963,-32455,-13815,-20212,368289,-64667,-13674,-6012,9879,-20124,-9789,difficult
564848,123750,159419,132073,26826,34704,97803,28589,-550832,-121825,-156212,-129134,-25336,-32480,-96050,-27088,-206608,-79605,-148452,-128010,-21633,-31572,-96970,-27657,-526963,-62393,-152358,-126979,-22527,-32107,-95947,-27019,easy
412712,154282,29143,11845,10352,20742,14628,11559,-238572,-127954,-24534,-4470,-8634,-16300,-9981,-8418,832908,459774,428540,44096,132791,33048,142802,78585,-146028,-99566,17061,1065,-4281,-4495,2763,1567,difficult
1464038,183335,45787,22306,28035,44294,38947,34930,-1163842,31511,44118,21796,-3855,5932,18266,-15810,-1382574,-159544,-42447,-20009,-24548,-40496,-37314,-34281,-364708,549764,239342,61607,8530,129806,131715,27474,easy
1078422,986246,204406,40656,68637,131384,109594,42675,206307,-833524,-116475,-18970,-57799,-111395,-90492,-34342,-162907,-953279,-200587,-33082,-64027,-122801,-105449,-38628,-1004088,-981467,-202162,-40173,-68008,-130110,-107726,-41776,difficult
820304,115449,33649,42879,26644,19439,32717,18634,-661922,-67318,-30336,-37593,-21792,-13542,-26982,-16674,1447657,174805,204243,61354,94029,233684,45881,93082,661575,1112777,181302,54505,37483,102020,58655,36989,easy
972061,220495,67245,54441,31074,33207,67319,27020,-248196,-82502,-50648,-49616,-24959,-12657,-49515,-18218,1559093,416236,106708,12055,66867,59733,-7188,20998,-451546,-60117,91450,-36145,-8946,23229,-50022,-15758,difficult
1056767,136005,29559,22757,41855,27010,23843,12625,-1033372,-119550,-27552,-15300,-40227,-24945,-20948,-10365,1730819,1098966,219498,182548,74380,79552,145504,57203,283702,271672,61871,16852,-36447,12492,-13462,210,easy
629223,75695,26295,29150,13056,37657,14955,8712,893666,15858,-5508,-7564,-7112,-22544,5919,6500,-164499,92194,5403,-13368,-1784,-16123,7988,-4468,1533248,61992,117534,61251,74036,109035,72196,121399,difficult
1069799,312793,102857,51359,33743,60583,58616,22034,-530823,188110,-85934,-976,-11491,-36658,-31879,-10759,1240658,35791,-67851,-5902,-16108,-26893,-35440,3497,-923397,-100303,-80037,-1741,20270,-27613,28597,8417,easy
913560,224378,165275,28809,81300,54550,80212,39185,16484,-86338,-150359,43131,-58646,-17849,-45002,-21044,-223549,240092,-95615,-4111,-44575,36728,14620,-25763,205192,115887,21155,32593,-50122,-13616,482,-1223,difficult
1114762,842737,164040,165674,61814,168707,64246,35286,21662,-361688,-131711,-141645,-16190,-133580,-33532,-13656,87102,-579665,-83034,-96048,-41543,-132033,-13189,-8724,-912179,-814922,-147620,-164852,-57159,-160406,-53293,-25842,easy
1757258,320871,138572,56891,83199,77894,89244,45826,-1650688,-307092,-125077,-52510,-79291,-61277,-82952,-37914,790741,523883,-65483,-5922,-53275,-22578,82800,-7095,-393909,-149488,-58774,-41901,-43837,-43356,-61249,-33721,difficult
737678,307774,18751,88523,27243,47630,30441,20986,771833,334434,40496,-39061,2293,32298,44459,26546,-488939,-278422,-6678,-84030,-19464,-40504,-21899,-14247,-97177,-290117,1035,-67714,-18899,-31168,-16152,-14082,easy
1424761,196015,110931,62034,26468,22609,13805,36304,-1383971,-173600,-107405,-60129,-23628,-19296,-11852,-35206,-1252968,-126746,-73589,-40095,-18921,-18756,-12091,-34994,115597,-113388,-90691,-49758,-17883,-3540,-1177,-31634,difficult
