delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,state
493053,84683,12641,16497,12706,47234,-412531,36536,-10739,34217,5451,-14147,-390785,-42904,19425,1109,37573,-13906,-461331,-75355,-2986,-12570,-9516,-25885,241285,-38234,-7553,5702,11552,-20067,-380498,-24047,-3004,21065,-10219,-27345,21746,-70546,702616,-621783,-79440,-32451,37121,14187,30164,-22411,-4567,4549,-33108,-13679,18272,15363,32122,-47089,21068,-21771,241,-11979,5818,-7278,difficult
248061,47923,12550,19422,13550,45860,-159602,1126,-9310,-15708,-8603,-30344,-139636,-10104,-3855,-13692,-11068,-19555,-242325,-32137,2539,-9993,-10109,-4117,-234023,-29831,-10992,-16068,-11245,-13428,-231302,7057,-7920,-10614,-6208,-16870,19966,-102689,8302,2721,-11230,-22033,2306,36888,5455,6394,-13531,3072,2016,3699,-6075,5454,-2465,959,-1136,5037,10789,15438,-9311,-3442,easy
192765,28031,9027,12145,20678,14485,258543,40256,-2515,14749,1608,5383,-187251,-14461,11370,-3904,8292,5420,1468527,49211,6034,6503,1443,6017,2799169,389177,22034,-2314,6123,31353,-159724,6214,3191,-443,2074,5922,-445794,1655778,1330642,-2958893,-54717,63672,339966,-382963,13885,-5336,16000,-18843,-18653,10407,-8817,1871,6684,-6849,4680,-4049,37,597,25336,-25431,difficult
596882,61824,16673,17749,14866,23181,1499702,515247,71778,3288,30838,22385,-528443,13352,-5629,-7200,28998,8,-541195,-26354,-10992,8775,22783,28048,-394555,-16546,-15434,-5126,-5388,-16831,-153526,-48725,5361,-1746,-10988,-11524,-2028145,-12752,146640,241029,-501895,-39706,9808,-32179,-77407,-5363,-4442,20795,-10488,15975,-13901,3380,-1840,-6215,-28171,-5600,-22377,28040,-44879,5307,easy
388816,50851,23953,15850,11843,15011,120313,-36382,-21179,-13530,-10524,-11633,-125287,-32651,-18920,-10433,-10833,-11508,-292458,45578,-5729,-5393,19185,24953,166804,203716,-19749,-14150,6984,1925,45745,-31484,-21995,-14727,-7135,-11164,-245600,-167171,459262,-121059,3731,78229,158138,-235200,2259,13191,-14020,-2246,3097,5040,-8757,-577,-309,30018,-12201,-14119,125,36461,-23028,-13089,difficult
282866,86024,18068,9114,6233,19534,-155987,-61299,-15903,-8108,-4985,-16864,-181328,-69350,-8854,-7768,-3326,-9149,-280039,-77757,-6613,-1589,802,16809,-280685,-69070,-12958,-2223,8888,2944,404650,29084,6099,40496,10793,6000,-25341,-98711,-646,685335,-8051,-8407,8687,98154,7049,2241,-6345,19057,340,6179,-634,42719,1659,4128,8086,1905,7715,25958,-13865,3056,easy
513663,89783,14304,7872,10651,19264,-481817,-70142,-2396,11988,-3135,24925,-463556,-64970,-9574,6192,-809,31994,-426336,-2969,3776,11580,-2515,25151,-495449,-58715,14476,-6663,11756,28981,-507163,-77179,-5639,-1675,-5628,49049,18261,37220,-69113,-11714,5172,62001,-55746,-18464,-7178,13350,10700,-20115,-5796,5388,-18243,4988,2326,-1706,14271,-17384,7069,-6843,3830,20068,difficult
307671,43924,5987,3536,7964,36488,-84929,-35853,-3028,1675,271,-26352,-269113,-37840,239,-1109,-3577,17065,-236345,-26489,-4397,-2751,-6160,-31929,-192552,94551,-2753,2837,-897,-1323,-192552,94551,-2753,2837,-897,-1323,-184184,32768,43793,0,-1987,11351,121040,0,3267,-4636,1644,0,-2784,-1642,5588,0,-3848,-2583,5263,0,43417,-48994,30606,0,easy
168437,49472,7254,11828,11150,30104,477754,180561,29700,19608,50198,10459,152788,75031,-887,-1444,-2941,-24262,324451,189572,74895,28369,6687,-1154,-146898,-12446,6293,21283,4381,-14481,-124443,-4614,-600,25410,-2004,-17060,-324966,171663,-471349,22455,-105530,114541,-202018,7832,-30587,75782,-68602,-6893,-21052,29813,-7086,4127,-53139,9628,-2306,-6385,-34721,23108,-13327,-2579,difficult
1237384,191474,30035,19699,17493,34307,350510,10684,359215,76650,42007,58353,-489845,-93251,6812,22031,71269,3201,-692746,-132585,-11983,-16235,-5473,-3712,-405148,-62399,-28093,-10863,-882,66981,315249,63961,22428,-6244,6474,20692,-840355,-202901,287598,720397,-103935,-39334,70186,126360,-352403,-18795,-16110,50521,-54619,-38266,5372,4619,29262,-76742,4591,7356,-55152,-6913,70693,-46289,easy
