delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
238136,58894,41593,16530,6946,19462,21038,5850,1137147,537907,65717,29532,35970,13192,17383,15620,-567644,-485993,-28619,-13885,-25341,-1284,-11771,-9822,-1021379,-495383,-56415,-25518,-32671,-10751,-16017,-15097,-1108011,-455663,12662,398,-29060,30845,38754,-4392,easy
99604,44920,9407,5145,2859,3056,1387,1177,159061,38743,7990,10624,4821,7124,2659,1926,-32548,-19213,-304,-5893,-3262,-4755,-1595,-1046,-136721,53427,6689,-4893,-2059,-2865,-841,-576,-9103,-15684,-2133,-5651,-565,-4585,-1380,-624,difficult
1374939,240621,39393,37310,25310,35739,28109,23124,276187,64628,6396,11278,13884,15298,6454,3665,622545,-36217,9719,34074,-5882,4034,19489,5083,1762943,282515,46582,29062,6269,33879,29518,36626,910768,281682,42691,14959,33891,23409,15957,16668,easy
52189,25343,6950,3905,3811,8942,4892,2657,138175,37429,4018,3814,4361,2787,1842,1313,-93736,-14847,4026,3411,3655,14952,5922,4800,-102543,-28147,-3559,-2082,-2226,3605,-678,-591,-61679,6737,8329,-1057,-3080,-92,3905,-177,difficult
258529,113582,22596,8846,9405,11586,5196,3464,469745,75666,2230,5081,4309,2536,1426,809,-369469,-54305,6909,1167,-547,501,481,835,-448138,-33664,25460,-809,-1808,2741,5386,3448,183958,201718,28728,10937,17643,23908,5443,3682,easy
64708,19775,13562,3212,3037,2082,1946,892,173382,229202,44383,10036,7986,7336,5118,3728,-73191,-214926,-35329,-6540,-6755,-4509,-2198,-2923,-110862,-204781,-29748,-8087,-3042,-5321,-3423,-2391,-141968,-208575,-27387,-5845,-5051,-5932,-3896,-3194,difficult
544798,36183,10151,12667,20899,14969,15072,9729,1554823,490714,84422,33736,47687,18940,15581,12016,-1550531,-461209,-65905,-10675,-26906,-5843,6270,3861,-1459674,-481211,-81167,-31231,-46462,-17360,-13555,-11502,-19871,-421173,-75742,-21302,-6995,11291,5758,781,easy
140447,97158,38550,16839,15461,18524,18978,9381,274205,66987,5465,6666,10159,2381,1293,698,81941,169422,72171,29422,20309,35410,26365,16335,-217288,-58927,-3164,-5376,-8074,1254,1967,1619,-265927,-19981,30247,6472,3672,11765,24722,8096,difficult
358786,70473,11520,9934,12157,4292,3151,1279,253296,66030,30029,16602,13266,8940,3725,2485,-232414,-60499,-23797,-12306,-5670,-5151,-2041,-1356,760854,107820,-5454,4714,11321,-2453,2995,-550,-211971,-33991,-26275,-12412,-8979,-6340,-2676,-1711,easy
266473,38238,9788,4525,1959,3175,1818,2928,316733,89097,18007,12314,6674,9264,3668,3156,229219,-27580,-12121,-4108,-3486,-4293,151,1951,-177854,-62757,4669,-8078,-4851,-5598,-2599,0,-202146,-62240,-17204,-11180,-5807,-8376,-3101,-2636,difficult
