delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1955791,197073,38493,86922,18987,26025,15149,7080,350768,671900,13638,129008,15763,11580,8212,13401,521117,-611668,42729,-100707,-10982,3015,-1072,-9507,2723762,-347208,27999,25718,12035,23661,16926,-3162,2723762,-347208,27999,25718,12035,23661,16926,-3162,451449,-593224,694,-119073,-193,7442,-5032,-9455,easy
646210,53226,14006,18784,5055,6346,2184,2389,519175,27638,14472,4314,6157,5935,2230,2377,457193,28315,-9184,35447,1545,-2018,161,148,525598,59908,25824,17791,3627,12234,947,1862,-53477,14774,-11268,2901,-4979,-4035,-461,-1081,-421175,-647,-7235,1740,-4600,-4539,-832,-883,difficult
232131,33493,14383,11936,7256,2623,2314,1930,561003,79937,56613,33490,6573,11381,3581,3189,-150696,-53628,-32516,-23753,6564,-9429,650,-544,-507780,-74371,-50715,-30452,-4335,-10049,-2806,-2915,-492078,-25002,-46416,-15657,-1382,-6996,-685,-1186,-164936,-32776,-39275,-16354,1886,-8558,-2226,-393,easy
569378,67388,29694,28119,14125,7885,9432,4337,272840,54981,10475,5491,3522,2985,4427,2295,296924,-9219,9131,6950,2295,5911,15728,3899,383920,2100,4952,29507,5466,2651,-2071,3678,364892,80434,10740,10127,3613,7531,-902,527,140417,-23689,52053,43929,31038,3505,7264,65,difficult
1482356,224914,55843,60218,16068,22368,6178,6249,355276,70263,9326,14562,10477,5471,6874,3277,556567,12464,43474,19068,1091,4204,2722,1373,1800282,3628,78543,58445,4981,12263,-1000,1636,422749,-45878,7242,-5473,-2606,-394,-4991,-2675,1728723,648389,56809,110584,18896,51516,484,11555,easy
1292332,173186,23902,60679,23650,22548,7875,4538,774981,118108,38713,24685,12426,14037,8462,8010,1031661,30123,15967,102194,45240,57768,9409,1745,-344292,-85990,-33581,-20021,-5274,-10836,-7427,-6978,-616233,-71251,-30081,-19786,-5315,-10633,-5273,-7333,1998268,347430,-11549,81588,10243,-2255,941,-1323,difficult
1134196,286022,38181,46470,16872,18479,7637,6257,681038,149442,30043,19732,9839,11919,3915,4375,750218,367093,52308,85298,18573,21037,11596,9161,13168,-107354,-20640,-14365,-7090,-9404,-3047,-2833,-211222,45473,9534,-15140,-3261,-5775,-1825,-2438,1260468,241106,-8649,51157,19910,20380,8163,3638,easy
709436,104870,39470,46203,19596,8291,2293,6081,1047186,89693,17664,22013,6641,5832,5728,2910,-1010192,-69407,-2882,-20073,-5262,-4485,-4417,-910,-891222,-87242,-4560,-14253,-5107,-3110,-4906,-282,1538949,278563,111190,150495,61455,21982,219,15101,-988534,-61205,-16526,-19410,732,-4550,-4636,-1225,difficult
185871,50340,10123,9151,5830,2921,1676,1759,1196316,263629,78002,26203,5959,10559,5212,3028,-1084775,-185143,-69631,-17152,-3311,-9397,-2028,-2116,-1069897,-221801,-63625,-1384,2065,-4839,-3516,-177,-858812,-228306,-71514,-24025,-340,-8368,-4555,-1673,-1028295,-217906,-66748,-25647,1068,-7949,-4045,-1110,easy
725379,104835,18970,13043,5228,4445,5010,2875,1147613,117584,38899,12464,6884,6458,3004,3282,-299021,-57922,-29681,-4845,-1165,-1067,4189,381,-971762,147664,-29667,-2532,1628,-3364,380,-103,-431725,-48456,16027,14793,-1653,398,3904,613,13571,-92282,-36397,-5100,-5433,-4020,-449,-2521,difficult
304688,42316,22169,29767,29933,12552,4539,2785,852120,313753,86673,140278,56850,25600,14794,7601,-724975,-270034,-83066,-104448,-44760,-15201,-10448,-5797,-618563,-293525,-60040,-130168,-46110,-20446,-12830,-4563,-669692,-275659,-82945,-111026,-41009,-19426,-13073,-5902,-176499,-246529,-31967,-96404,24209,2880,-4670,-3002,easy
1346511,139304,28412,8209,26795,17219,6826,7237,407321,113387,8158,14454,15183,7346,2871,2920,694491,-75581,4522,-12496,-6725,-4425,312,1137,-26733,-51993,19960,-8510,-5614,1570,-91,1589,1562873,27322,21959,-4863,-10125,1533,2616,3612,1526127,203919,34574,888,68911,40814,12982,10930,difficult
424492,158181,11407,7029,11618,3500,3566,2299,1491390,500248,68000,39337,32258,51398,29468,11796,-1315289,-359690,-55344,-24232,-20047,-46966,-25319,-7556,-1438292,-481616,-53842,-36587,-31183,-49899,-27197,-10927,-62388,-34101,-50754,-29906,571,-43767,-22218,-7951,-1451622,-492862,-66434,-38506,-31900,-50959,-28875,-11554,easy
1238041,136934,35832,10930,16935,12913,9957,5070,613729,224067,33176,34229,27474,15624,6997,4157,1441719,-110894,-25356,-23388,-15875,-8693,-589,3973,-562869,-170018,-21491,-32472,-17439,-10566,-4341,-2113,1723286,-128159,-14443,-15068,-18184,-9535,-1741,-753,-104890,60539,71914,-22269,9341,17950,18510,2544,difficult
713311,109575,68055,11889,8496,5539,4949,3438,1554087,296207,65888,103645,28067,39397,25790,17126,-819366,-88843,-24883,-84122,-20125,-32062,-16092,-13035,-1051427,-204622,136069,-86083,-10004,-32571,-20112,-11191,-584640,-220595,-43740,-101035,-24878,-35901,-23022,-15035,-907671,-232468,-58777,-95783,-23278,-34899,-24137,-15492,easy
