delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,state
115962,36996,10789,7672,9267,15557,117076,44610,8799,7935,7615,7414,3947,22954,13529,-2821,5251,28,-98345,-18500,3400,16358,15885,26139,195783,4043,-2217,-4423,-3249,9728,-73839,-26127,-3928,-3343,-3699,8631,-33115,-20441,-836,-7087,-5928,-3810,easy
34219,20221,5674,9816,10328,18336,506320,77646,26573,14264,24017,34891,-492158,-63913,-25689,-9136,-12424,308,-435011,-54883,-21476,-5674,-12338,-27240,-478218,-67859,-23272,-10175,-18745,-29455,-503141,-68720,-25070,-2732,-19281,-31695,-451976,-31752,-8988,5477,-5659,5305,difficult
90825,43107,10607,12740,18992,16134,722512,51879,42661,11703,3617,11282,-673685,-27505,-42145,-6589,4474,-6118,-372641,-1719,-23503,-321,25254,7082,-687677,46844,-33553,-604,25968,5168,-710791,-14021,-22778,16560,13479,8521,-713639,-47460,-38289,-3860,7698,9608,easy
562630,111031,13476,8909,5720,21965,546870,190969,52838,66197,17466,58021,-468212,-161015,-44241,-58604,-16679,-51269,792209,89117,-30782,-48903,-9980,-27561,-362678,-150401,-40166,-63381,-13423,-53371,-415204,-102217,-35908,-61205,-8551,-29054,532685,-75173,-45713,-54345,-10099,-19024,difficult
231567,44761,11841,9554,9609,13850,936731,29953,8583,5582,7923,19859,-732827,-13532,-7467,-4898,-5454,-18592,-816349,105333,29418,28197,21129,21658,-804319,-10603,-357,-100,-87,-8789,-339139,-12950,-5206,-1537,-3727,-10524,-833187,5791,-99,-1802,-3431,-13800,easy
1386183,77440,29294,24119,24239,31439,432707,230237,22375,12081,11263,15762,-259017,-114954,-1185,-7594,-2003,-10803,1846776,-125166,292,1443,13993,54054,1363512,-196672,-12644,33655,1273,9283,1355634,-131407,58493,32796,25658,7724,460477,-195788,-10359,-112,25959,18127,difficult
506495,85255,31765,15521,17385,19867,1060520,163683,25568,18627,37261,40269,-615942,-91345,27872,-7510,-18736,-11606,-919640,14551,31742,-228,-24312,-17372,-855373,-86401,-7921,-6541,-2271,-25548,-942634,-126046,-20960,-5984,-27062,-32738,563466,-102897,251,4733,-27001,-14747,easy
140471,24638,9568,9707,16172,38095,902317,25786,16995,7705,5277,16120,-733291,26696,1927,489,7962,45568,-440699,1126,1349,14008,12978,32921,-847051,1082,-15044,293,989,-5305,-894614,-14557,-11583,834,20836,21001,-893575,-20089,-13785,-5612,11708,15688,difficult
416484,66585,44449,13227,14707,25167,550592,182862,30890,22732,30740,38381,-520655,-165255,27895,-11200,-15853,-16468,-485217,-112482,22762,-13874,-5977,-21172,-98102,-84195,4860,-4282,-24074,-20733,633360,-165003,-14223,-20496,-28696,-34545,-199924,-54451,26500,2328,-5565,26848,easy
1192988,308213,54230,99962,54456,90733,1186746,133099,13089,17335,14781,18365,125372,-73775,8284,19972,27198,-9927,-856267,-95654,8548,-2389,-5487,21998,1527524,481823,28909,52426,122303,66018,-139233,103573,89830,144160,39099,106695,-626185,459601,70134,198967,15260,177058,difficult
205314,30348,19005,14693,11001,26219,325279,24843,4771,11207,11746,12300,-310992,-5821,4382,12999,-928,23134,82474,16295,20624,7415,1512,17319,82474,16295,20624,7415,1512,17319,-222891,-12355,20234,-1563,2007,16351,-230888,13110,5306,-8836,-7827,-4530,easy
813661,210106,24697,24642,23466,25639,1136359,218225,30196,59861,22724,77472,-515003,38967,-661,-57813,-12211,-67339,1542993,342704,-9768,41250,57670,-5766,-1092150,-175029,-26377,-53554,-18067,-68206,-593561,-93153,-21096,-51378,-10137,-56981,-955770,-154084,30409,-54600,-13545,-60873,difficult
198045,49026,9568,11634,8836,11085,169508,74117,27197,11613,11055,21423,-115879,-72472,-21823,-5158,-1826,-14546,-148156,-44220,-19798,5047,-5033,-9533,543048,65434,-13066,-4903,5730,-10611,-147737,-14210,-16300,15275,-247,2421,11411,-59987,-17156,-10158,-9720,-19422,easy
699667,93914,14514,15678,27734,41263,1227939,146485,36295,17526,20669,35087,541982,-35405,-20557,9840,35954,16698,-746081,-10702,-12995,-14031,-15706,-24162,-1221744,-113241,-22866,3871,15695,24475,-582163,-56157,-27549,3038,7148,28454,-633356,-47352,-24937,-11960,-7766,-14587,difficult
