delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
75337,17397,3558,5708,7022,30643,12572,5521,174184,149552,44723,24146,2466,-18766,991,6097,1143292,14892,2707,-1218,-1859,-27221,-6225,-3101,-53894,-10169,-1896,-3738,-4721,-23640,-4831,-2737,112391,57185,1080,3031,-1878,-21336,-4480,-1796,-67582,-13297,-2523,-3626,-4486,-16348,-4770,-3314,easy
893101,317210,131470,28201,24178,15735,17636,2916,-880871,-314380,-114356,-11725,-11568,24158,3204,8863,-806059,-309550,-128565,-26086,-16675,-6580,-10913,1274,-861449,-304012,-121762,-6536,-15033,23375,15985,2208,-524566,-308714,-121306,-26592,-21404,-10328,-14070,437,-840000,-315170,-128942,-22752,-22106,-14402,-16423,-1419,difficult
229275,93718,22223,17827,26002,25023,17509,5635,-130401,-90378,-19076,-16579,-24629,-22415,-16012,-4601,-134885,-73518,-20714,-16719,-23863,-23463,-16570,-4680,-224524,-87944,-20238,-10901,-23583,-16869,-13186,-2413,-162397,-82276,-20053,-15720,-25322,-20192,-13490,1061,-151681,-86726,-13374,-13546,-24038,-10687,-12885,410,easy
66809,24568,25224,17546,11466,35423,22288,10035,22396,20712,-19979,-16189,-3550,-25414,-15423,-7132,-54532,-17843,-17009,-7450,5750,19364,-8914,16379,-60753,-986,4984,-9223,4843,7475,-14352,5608,13471,32437,-8192,-893,-1712,-8686,-5334,4542,-31193,9335,-11048,-5294,46925,-12686,61012,13845,difficult
267603,127355,45228,8237,20193,46439,21192,21556,-216830,-91654,-36751,4110,-11742,-36776,-17891,-18864,-118318,-32622,-12373,7254,-11480,6777,16751,-2304,-266112,-121161,-44827,-6839,-14806,-38151,-16967,-19700,-165281,-96163,-29368,-5730,-11294,-37887,-13064,-18201,-185352,-93701,-41222,2167,-17182,-38326,-15861,-16172,easy
316193,24757,14286,7790,5388,7316,4626,3471,-165776,56815,13142,3722,19195,5009,3492,7830,-227025,-19011,-13930,-4759,-4179,-6693,-4315,-3242,-170900,28312,-12981,-2961,-264,-3145,-3951,-3006,457035,51164,-11511,-6020,-3835,-3827,-267,-625,-201872,-4139,-1034,-376,-1354,5000,-937,-1152,difficult
689294,17998,3954,4646,2912,3767,2085,1589,-684425,-7258,-6,2223,3845,14464,13204,7131,-684905,13324,14385,19155,15739,13579,11660,13956,-676689,27920,25585,22601,21216,18746,7482,17975,-263889,632924,50294,37335,105428,33344,26313,23518,-624493,-5516,-1453,-1872,3374,8976,5787,2994,easy
225231,105842,17429,10240,19854,28370,23069,13227,-138155,-101186,-15889,-9244,-18497,-25241,-21073,-12319,-164518,-73153,-7121,11069,-6204,18384,-5009,903,77241,-29524,-8269,-5069,-14377,-20931,-20179,-11440,-220890,-104098,-16123,-8161,-18282,-24309,-21405,-11966,-219648,-102240,-15272,-5158,-15935,-20697,-21073,-11397,difficult
170618,19859,11366,3432,2598,8179,2305,1489,-146579,-11307,-8436,9486,5618,16732,11424,11531,-137985,22686,26922,1761,23967,8902,9410,13168,-160331,-16556,-8042,6911,835,-1561,8129,1828,233221,202162,3501,15824,8574,20998,7786,5363,-165114,-16754,-10532,-2576,-400,-1970,502,-276,easy
352102,31795,10315,18637,22616,13334,5475,6114,461857,88061,-4794,-10961,-20486,-5302,-1905,-4184,192519,-14718,-6568,5912,-16783,16158,7140,15323,-239623,-27846,-6864,-15508,-22116,-11564,-4381,-5698,-285772,-18927,-9095,-16657,-20773,-8869,-1651,-283,-335943,-22329,-2187,-17928,-17314,3826,6720,2416,difficult
1187486,367195,43328,28627,26224,28876,32685,24847,-850059,-238311,-36452,-17526,11351,-4928,8056,7970,-1186291,-365740,-42508,-22340,-23459,-23498,-29511,-22680,-1110505,-329731,-39093,-3823,-8522,-6816,-17090,291,-1185775,-358969,-32833,-12492,6962,-14962,-25907,-21668,-1176049,-343730,-40814,-18629,-14685,7459,-11719,-16686,easy
302578,38805,8779,6864,22469,19149,14015,9684,-286658,-35055,-5652,-5059,-21708,-5427,-11104,-7978,-235959,-32834,-6077,-4137,-19712,-17788,-12992,-8482,-296967,-28887,8789,50860,931,3325,3151,2607,-119613,24,15622,11035,-18097,-14049,-11724,-7164,-299466,-35218,-6577,-3570,-9751,-3906,-7207,-1792,difficult
120256,75596,20101,14544,10153,13445,8033,6446,-112016,-64095,-13966,-11528,-2379,19222,3396,14432,-66145,-57234,-15160,-11715,-3725,-5320,-1464,-2910,186896,-60957,-17471,-11511,-2942,-5473,-4855,-69,508673,73479,8341,-5345,872,-4647,4210,-256,-82150,-35688,-18574,-13760,-4929,-3277,7529,161,easy
819854,231116,30470,36043,16829,15961,13510,9716,-719223,-49493,-22297,-30878,-11809,-12857,-10633,-6443,506905,-111809,-2905,-23083,4329,-10244,-9640,-7602,-625257,-151717,-6049,-32625,-14089,-11966,-10822,-9065,-9324,-78196,-19362,-30120,-2216,33328,10120,18093,-704511,-200608,-27020,-33601,-13963,-14667,-13074,-8951,difficult
668976,114274,19586,10366,6851,19592,9449,5866,-505800,-103792,-18573,-8585,-6594,-14269,-7855,-5049,-539028,4479,-6549,-910,1654,-8958,-2331,-2575,-658838,-103587,-177,-6144,19027,-4760,6472,1094,-607398,-111015,-18157,-8329,-3810,-16957,-6909,-4823,-663983,-98210,-16389,-3697,1045,-4912,-5842,-1271,easy
356176,123152,13562,21226,7197,43901,67343,11864,-326308,-121603,7648,12106,6405,16325,-7172,12488,-237976,-96337,-8569,-18974,-1091,-34177,-52275,-7243,-270230,-96028,-10347,-13270,2085,-35084,-55847,-3265,-290867,-70588,-6182,-9304,-1818,-29834,-51503,6339,647844,-92593,-2641,-3521,504,-33523,-59790,-6507,difficult
103820,20854,10423,7141,7021,19386,10556,7439,794330,184220,-8150,12262,9902,-8585,7580,2217,307869,61690,81734,54766,22453,16118,11484,24352,-7359,-18042,-6751,320,2239,-6477,-91,-4012,-69014,-7635,-4841,3590,3009,-14656,4933,-1380,-73054,-6999,4814,342,7695,4925,10187,10086,easy
334035,18222,6231,7928,5558,9751,2928,7765,-331131,-2028,-1709,3568,2842,22588,19104,3873,-330416,-9978,-3311,-1308,15778,-3224,6236,5078,672204,43064,11120,-7298,2649,262,1304,-4370,-234782,7593,4653,7462,4813,3709,11336,-3569,-201567,39730,-3641,-7099,516,-1844,22676,-1079,difficult
264710,51576,8522,6570,6746,10029,6386,4732,-259518,-45531,-1675,-2085,-5990,1592,-3276,-458,-202135,80172,16318,-3138,1911,4212,-2268,152,-180871,-35202,-6683,-2276,-647,-1203,-3124,-1855,-74354,63724,289,-1198,-3856,55,4106,-2007,-152192,-45593,-4979,-4253,-792,-1776,-2219,-211,easy
