delta_ave,theta_ave,lowalpha_ave,highalpha_ave,lowbeta_ave,highbeta_ave,lowgamma_ave,midgamma_ave,delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
458419,141292,16166,8980,13323,17248,8784,7960,382664,173645,41953,35604,22855,20025,21375,38839,71968,-3169,-16523,-15290,2507,10458,-6838,-16029,584822,2945,-25150,-28666,-15764,-12349,-11507,-31607,357906,89532,-10167,-24221,2414,13188,-5028,-30799,-317795,-160800,-41654,-34769,-21457,-18232,-20773,-38697,-318126,-90273,-35442,-30176,-15362,-6952,-18809,-37265,difficult
909045,309914,60726,13383,11629,20550,7705,5707,609183,205881,9905,8070,11335,13265,12727,7725,-600215,-178311,9083,-349,-2815,6006,-280,1191,1214350,725296,216198,39808,25029,39457,4816,3476,-241197,-26061,16189,573,-9767,-4584,-11479,-6146,-464742,-201108,-7349,-7346,-8728,-9764,-12074,-7046,1591114,200348,19982,-6123,-2247,5310,-6093,-1565,easy
66386,26882,6974,2858,5156,2637,1175,865,72722,22955,11639,7593,7708,8162,5077,3635,-61792,-16129,-10486,-4763,-5882,-4959,-3916,-1936,22408,14358,5765,-3668,-3214,-5548,-4467,-3289,1845,-11704,-9700,-6860,-6933,-7216,-4530,-3404,8826,-2838,-4482,-5066,538,-4234,-2383,-2074,-2965,35950,-4420,-3318,2730,-5666,-4216,-3146,difficult
225833,61247,9443,6385,4302,6920,3366,2011,175553,37342,11979,12961,11486,11343,5132,11023,237274,171669,9801,-9989,-8728,-1229,-1445,-8149,445525,327,7176,-9775,-2770,-5817,-3579,-8967,-161037,-28526,-9346,-8153,-9244,-7610,-2374,-9974,-97371,-15669,-10761,-6584,-9586,-8645,-4702,-10591,-172991,-8275,-9552,1623,-5594,1185,3269,-7377,easy
634945,153070,12262,14581,13499,10846,7175,7215,428174,77120,54375,26981,20486,31357,14482,11673,1185806,184187,-28667,-7769,4982,-22729,-9935,-9136,748929,193,-42047,-3914,-5426,-22036,-8343,-5583,-66678,343094,-35293,-2879,-6820,-10522,-1175,469,-424060,-71328,-53455,-23425,-18296,-28458,-12145,-6132,-410142,-76395,-51101,-24014,-9376,-18810,-4935,-1910,difficult
318368,236115,15660,11534,12594,10095,6042,3105,666500,152110,35132,43399,17188,33067,20239,10813,129662,728649,12468,-2030,2854,-5682,743,-3445,-488444,-94723,-24196,-42418,-13313,-30937,-19038,-9836,-505385,-124237,-22224,-35703,3873,-18114,-15394,-6711,-245810,24761,-29596,-37258,-41,-28161,-17335,-8075,-630682,-114426,-33813,-41914,-16345,-31968,-19959,-10471,easy
535206,169851,17470,13687,18945,7869,4299,2773,232511,85248,28542,9735,13588,23009,14765,16281,46406,-17549,-17023,-3613,2090,-16311,-11871,-13507,-44118,-55287,-8988,-1879,-3025,-16026,-10590,-13635,471927,283957,-1190,23033,24254,-10629,-8175,-12121,1199973,279067,-4451,5788,14175,-12473,-9794,-12916,-160711,-67172,-23710,-3571,-10707,-20262,-11898,-15359,difficult
663580,396230,42856,36891,31381,18963,8664,5494,514169,184687,73770,11952,31104,25912,20322,21675,680898,1013862,35720,18027,48959,4843,63,-9371,-413111,-158682,-53807,11488,-23449,-19307,-16218,-17753,-332919,-158928,-49763,3712,-27194,-20669,-16892,-18677,1197047,525025,-15728,101293,32639,22827,-5765,-14250,-384858,-163562,-70994,-9823,-29570,-22441,-19476,-20855,easy
521239,69866,9294,7623,8086,7385,4200,3678,135427,21905,9510,15778,16576,16884,7369,9177,345950,147909,-2435,-13239,-5167,-6358,326,-6696,1324578,38430,10612,-6310,-4742,-8240,-2891,-4992,-21461,11072,-4866,-9795,-15742,-14634,-7040,-8764,330463,29237,-4875,-7279,-12729,-13241,-5434,-8431,-50472,13155,484,-4152,-4069,-5021,-807,1388,difficult
656567,31057,10017,5651,8788,7648,2591,1782,183402,15048,3126,3368,4797,9035,1479,1555,2422614,56399,16695,11027,16838,14581,1852,641,-154480,-5302,1597,101,-1336,-3403,2936,857,32456,22956,1551,-2320,-2216,-6880,-420,-888,-162510,4688,8156,5061,6488,-4304,1053,1341,227743,1304,6456,-2455,179,-6929,137,-817,easy
135800,50072,14452,18682,8070,7348,2288,3216,368131,60866,12651,6789,5493,5384,2835,2203,-225551,63962,26624,58694,16206,5773,-546,2417,-319985,-47406,-10385,-4781,-4509,-3354,-2092,-1269,-236067,-45281,-10851,-2921,-3427,-2896,-2050,-1511,-156664,2744,11681,9394,3651,5332,608,2267,-223387,-27987,-8064,-920,962,4965,1344,3162,difficult
341516,75124,13809,10716,8369,6009,2538,2751,533603,152942,16772,9053,20423,14936,9543,10771,-455470,-119144,-10825,-6412,-18726,-13419,-6705,-9678,271643,41588,-6982,6829,-180,-2446,-5020,-3512,-441245,-46105,10963,3449,-10694,-7240,-7318,-8613,142871,-124615,3173,12887,-14596,-9118,-8321,-9017,-478235,-140812,-11144,-8440,-16072,-12410,-7659,-9280,easy
