delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
96708,27468,6746,19243,7157,5900,4706,3692,52161,-20648,-3287,-12997,-4020,-1685,-2387,2652,115967,60406,6312,-10592,1052,-25,-919,-1838,450181,16469,2372,-4067,-54,2651,7045,3417,63806,334214,81054,-43937,9599,-3940,2405,6525,5072,-1106,1660,2676,1468,7964,-4490,5255,easy
172075,44530,7101,3045,9703,9568,7759,4173,-169135,-26042,-2880,5370,-2208,4507,4383,4297,-110921,-21932,1573,9508,-8571,-6403,-5569,-2578,-124473,-33092,-4919,-435,-7868,-6684,-5624,-2897,58214,-13552,4110,-11160,4453,-6492,4138,-9943,-6363,703,-10910,-281,-9952,-55,-6875,-319,difficult
950371,136585,12490,54980,37446,27346,12007,6906,1781867,91302,55363,-36063,-28977,-6209,-7097,-250,1810401,176519,20830,5045,1743,-9949,-2839,-2828,394837,38185,46588,33062,7109,1098,-3459,2891,28534,-1415564,85217,-138334,-34533,25758,41108,28017,30720,5366,-3740,11047,4258,-620,-2578,5719,easy
12520,7181,2752,5035,6068,8082,4833,4276,30323,7800,-1990,-4096,-1854,-5224,-3557,-1960,114655,74454,3272,181,-26,-4002,-2981,-1318,-5524,-3377,-1689,-2691,1392,9588,3933,196,84332,-120179,66654,-77831,5262,-4961,4277,-2872,1828,1418,1222,13590,576,6914,642,1514,difficult
341703,296311,37918,41995,28215,34077,17045,8953,-82686,-246181,-27745,-33266,-17029,-27142,-11932,-7327,-301038,-265749,-12284,-16255,-7856,-24074,5944,1323,68565,-292946,-31316,-39936,-24421,-32554,-15989,-6737,-218352,369603,-19568,-27197,15461,-19032,17011,-23681,9173,-16565,3068,-8480,17876,-21933,8650,-8060,easy
37326,18170,3984,7707,7691,5610,4413,4546,87324,9110,-1488,-4018,-4812,-3378,-2814,-3547,33638,12411,499,-6178,-5864,-4963,-3943,-4367,-25390,-10203,1093,-5659,-1395,-2436,-1287,-348,-53686,-59028,3301,-22614,1987,594,-2160,519,-1052,4469,-1585,2527,-1129,2656,-820,4019,difficult
36720,7695,2877,9146,5763,7368,4187,7191,46256,76334,23055,26118,10833,5467,-1458,-2550,-1310,26879,21857,-5463,-1917,-5595,-2989,-6126,189427,19330,62624,24671,19102,7284,-279,-1016,-47566,190737,-49455,-7549,-1198,40767,-31581,30134,-12750,21019,-11062,12879,-1531,2710,-3576,5110,easy
106662,36957,4185,7552,5036,7229,8269,3773,-81461,-26948,-3184,-6937,-4613,-6605,-8007,-3461,2466,-15172,2172,-6768,-3846,-4182,-7468,-2493,40336,-13365,-2107,-6724,-4186,-6249,-7964,-3429,83927,37870,11776,1807,5356,-4279,169,44,767,-340,2423,-2067,539,-496,968,-936,difficult
48054,32722,21533,3585,5655,6992,5872,4126,765987,110671,-3039,12262,1012,-1178,-2152,-478,481368,67058,-10069,26790,-248,5062,1218,-1328,1155648,46176,-11285,2548,1825,6088,6520,6189,-284619,674280,-43613,-20882,-7030,-1216,14528,-24242,-1260,2073,6240,1026,3370,5302,-850,7517,easy
44778,17054,4959,9865,8306,18046,9339,7065,24760,24524,-20,-7666,-5196,-15388,-7073,-5236,56158,1701,17246,5791,3820,-12889,-6166,922,15505,3488,-3912,-7492,-7873,-17690,-8819,-6578,31398,-40653,-22823,1787,17266,-21158,13457,-13283,9016,-11693,2499,-4801,907,-2653,6158,-7500,difficult
197264,26012,9171,10081,7797,7688,3924,3038,-155114,-3875,-7004,-5215,-6164,-2353,1824,-665,355133,109454,66906,-5873,2761,8807,10284,4776,-158875,-17429,-5113,-6491,-5807,-5316,-1439,-1053,510247,-514008,113329,-126883,73910,-72019,-658,-618,8925,-8568,11160,-14123,8460,-11723,5441,-5829,easy
