delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,delta_cc0,delta_cc1,delta_cc2,delta_cc3,theta_cc0,theta_cc1,theta_cc2,theta_cc3,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,lowalpha_cc3,highalpha_cc0,highalpha_cc1,highalpha_cc2,highalpha_cc3,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,lowbeta_cc3,highbeta_cc0,highbeta_cc1,highbeta_cc2,highbeta_cc3,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,lowgamma_cc3,midgamma_cc0,midgamma_cc1,midgamma_cc2,midgamma_cc3,state
336192,296734,65143,14073,21321,19755,8952,9793,338763,-272649,-54124,-3200,-15062,-14755,-5559,-5875,24566,37060,-50510,-11041,-11491,22847,7118,6510,-186745,-280829,-61234,-10941,-19123,-11967,-3291,-1875,-311874,-253713,-56538,-9350,-17221,-8001,-2982,-2977,-128091,-196711,4045,23183,-13963,-10109,-4066,-1816,-314197,-211311,-125129,183783,309709,-317889,27116,57002,3614,-10724,4696,60583,-7841,100,1591,32533,3571,-7632,1902,3258,37602,-34814,3966,-2108,12677,-10409,309,-1084,12385,-8385,-1102,1161,easy
796012,93649,21796,29912,11462,13322,6989,7452,-783853,-86047,-14944,-17485,-8173,-10857,-2174,-2835,-710776,-32981,-16564,-23862,-9676,-5765,-3734,-6462,-285561,192855,14060,-11370,3020,6658,4148,-1981,-594638,70453,17073,-13225,4065,1513,7882,-2207,2021477,187109,55413,-9730,-11,10086,5411,15000,73077,425215,-309077,2616115,53066,225836,-122402,116656,-1620,30624,3013,38340,-6377,12492,-1855,3495,-1503,12696,1045,-4076,5092,12423,-5145,8573,-1560,7882,3734,-2471,-3627,4481,-226,17207,difficult
974443,52432,6890,6662,3806,7804,8190,5737,-136740,227475,40743,4836,8980,5370,9878,6561,366110,427054,29966,40148,47699,44358,113183,53018,104916,550704,75629,65588,14354,20647,31567,21717,-218057,-17258,-1660,14631,509,4737,18945,2022,-869846,-35226,-3513,-3645,-1754,-5910,-3907,-3965,502850,-261194,-322973,-651789,199579,123650,-567962,-17968,-10777,45663,-77289,-1853,35312,25440,-50957,-18276,38719,-33345,-13845,-2263,38988,-23711,-15910,-10647,103305,-81616,-12622,-22852,46457,-31301,-19695,-5987,easy
524765,279885,18872,18351,23915,27203,9177,8640,55789,-244714,2507,-631,-11758,-15032,-4426,352,-462567,-262263,-14541,-17333,-23217,-25668,-8528,-7735,-517450,-245245,3657,-16993,-20575,-3039,880,-3631,-201274,-238796,12232,-12079,-20374,3559,4709,633,-288949,-112291,7334,1407,4191,-8609,-3891,5796,-518356,-54883,316176,-87675,-17549,17018,6449,126505,-17048,18198,8575,-4898,-16702,340,4914,13486,-11459,2642,201,24565,-10636,22629,6598,-12168,-4102,9408,3829,-8600,-8087,4104,4264,5163,difficult
664430,349976,18849,31350,12836,21342,20890,13580,-194756,93891,23555,-1323,11308,15950,47383,13442,-582571,-326545,-1170,-21712,-4411,30753,33031,13925,-662349,-342919,-14756,-26916,-828,1542,6212,2269,2022697,7753,107450,16367,-624,23559,7656,8516,-436311,-313707,-2219,-29043,-9768,-17948,-18414,-12066,-387815,-79778,2685046,-2459008,-420436,-16374,350672,-321460,-24725,-13586,122206,-109669,-20389,-5204,43283,-45410,-15719,3583,204,-9144,14803,-29211,22017,-41507,-14352,-26819,1444,-26070,483,-11656,6247,-20582,easy
978725,260342,59818,29811,90625,18189,5860,3409,-890243,-254038,-50700,-26014,-88503,-14563,-4144,5,-924722,-237029,-54399,-27005,-88885,-17463,-4596,-2919,-877313,-199650,-58372,-28060,-86903,-15245,-3900,-1501,-541311,-197613,-36320,-17785,-82486,-7121,8612,3186,-866053,-222937,-57378,-29352,-89635,-17307,-5539,-2996,-34479,47409,336002,-324742,17009,37379,2037,-25324,-3699,-3973,22052,-21058,-991,-1055,10275,-11567,-382,1982,4417,-7149,-2900,2218,8124,-10186,-452,696,12512,-14151,-2924,1418,4687,-6182,difficult
844249,352014,29722,20131,22832,16501,15516,11501,2281096,-138487,9402,12426,59923,137,-9544,2469,1236938,74780,21582,-6914,9888,10543,-4554,13353,-754177,-290779,-21308,-17534,-21500,-12793,-11465,-6800,-831021,-340467,-28024,-14748,-20458,-11449,-10797,-6495,-627080,-292439,-19016,-17211,-19865,-13256,-13947,-10266,-1044158,-1991115,-76844,203941,213267,-365559,-49688,48028,12180,-42890,-6716,9008,-19340,-10620,2786,-2463,-50035,-31388,1042,593,10406,-23336,1344,-1807,4990,-6911,668,-3150,10884,-20153,305,-3771,easy
166009,67854,14150,11280,4734,3618,1780,2601,-157118,-65290,-12641,-9617,-3716,-739,297,-447,53038,22385,-4500,-4255,11384,1147,24419,4321,-155958,-58537,-11427,-6427,-2345,4137,-1067,-1135,-112801,-33275,-10610,-9778,-2017,-2398,-1096,-1886,999106,399550,3896,8600,12458,23702,4052,-483,210156,-208996,43157,1111907,87675,-80922,25262,432825,8141,-6927,817,14506,5362,-2172,-3351,18378,15100,-13729,328,14475,1886,2990,-6535,26100,24122,-25486,-29,5148,4768,-5456,-751,1403,difficult
297395,160071,6194,5324,5809,4027,1989,2053,1704759,-88820,11477,49087,24994,32866,22815,4300,708692,-80935,-4253,2158,2411,84,1355,-112,-111853,-147889,-716,-3362,-4480,-2308,-295,-455,-274708,-145136,-5909,-5123,-5103,-2140,188,-1374,-234165,-140099,3165,-1595,-3206,4578,2602,1136,-996067,-820545,-162855,40543,7885,-66954,2753,5037,-15730,3537,-5193,9074,-46929,-5520,-1761,3528,-22583,-6891,-623,1897,-32782,-2392,168,6718,-21460,-1650,483,2414,-4412,-343,-919,2510,easy
100261,10658,6182,7129,4137,7705,4648,4907,17960,-4468,-399,-5981,-2236,-6457,-3290,-3984,-82235,-5512,-3553,-6909,169,-1813,4903,-3317,-20880,14883,-589,-985,-2074,-5983,-3627,-4146,2035,37521,6467,-5046,-719,-5985,-3746,-3782,557488,239866,34231,-2770,2330,-4116,-2276,-3632,-100195,61355,22915,555453,-1044,20395,22638,202345,-3154,2964,7056,27764,-928,5924,-4061,2276,2405,-2243,1355,3049,4644,-4170,-2,1869,8193,-8530,-119,1470,667,-829,364,150,difficult
