delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,lowgamma_cc0,lowgamma_cc1,lowgamma_cc2,midgamma_cc0,midgamma_cc1,midgamma_cc2,state
116729,62438,15077,20674,8594,6852,2839,3252,99420,7747,905,-11344,-3949,-3117,1382,-2064,-94189,-17413,-5990,-12582,-2086,-3859,-2141,-2134,-83676,-26111,-3623,-9031,-2305,136,5753,-359,69603,-42181,-12616,-18306,-5033,-4505,-1612,-2468,-193609,10513,153279,-25160,-8698,-16070,-6895,2367,-8993,-1238,3551,-9275,1863,-219,-2728,-742,3995,-4641,-3523,7894,-7365,-70,1775,-2109,difficult
355299,83040,58793,14172,8836,9749,7922,3565,-238949,-45815,-30779,-1486,-4080,-4941,-3402,-1506,-138608,203042,-56190,-3324,3352,10220,-55,1214,454028,71862,-19513,11624,17447,3154,3086,503,-267127,-68087,-40327,32997,15603,1049,2249,-1562,100341,592636,-721155,248857,-131180,-139949,-25411,36677,-20814,-1838,14948,21373,7432,14095,-1844,15161,-7066,-2105,3347,3141,-837,2720,-711,-2065,easy
304958,55471,15785,8927,5993,5885,2234,970,-270280,-51534,-8121,-6639,-3123,-4491,-1013,-673,-100501,-23986,-7044,-4780,1200,-2204,140,409,-207629,-11242,20930,-5670,6642,-217,-607,125,199270,76795,-11859,6652,28478,16623,9930,3459,169779,-107128,406899,27548,12744,88037,1077,27974,-32789,1859,-890,12322,4323,5442,21836,2287,1987,16840,1153,-747,10537,1082,-284,3334,difficult
73165,126636,14979,9833,20386,19319,5835,5165,-55276,-112058,-11679,19400,-11641,-7508,-1790,-3804,671245,-33372,-4206,28698,12401,-7267,2944,-3321,-34608,-118836,-11841,-8941,-18851,-16752,-4604,-4692,156940,-78677,-7480,-997,-14821,-17144,-4329,-4352,726521,-705853,191548,78686,-85464,40159,7473,-7635,4361,9298,-37639,7944,24042,-31252,4030,241,-9485,-392,4734,-7548,275,483,-1371,340,easy
491248,218585,29130,13977,20617,23007,14743,11041,227956,-153779,43342,85535,41732,-13709,-8168,-8031,2157632,46962,35130,73164,86167,53694,45037,-1439,634127,-81314,8886,2755,3194,34079,587,-5183,-345099,-141697,-14583,21140,-8238,-8727,-8825,-8413,1929676,-1523505,-979226,200741,-128276,-60383,-8212,-26244,-23469,-12371,-70409,18385,44435,-82973,-11432,67403,-19615,-42806,53205,-44450,-9412,6592,-3744,-3230,difficult
1033767,131608,80196,55155,47440,49755,25147,11210,13607,485931,8548,-29396,26245,-16323,-9428,17608,-967360,-108265,-73683,-52292,-46118,-48122,-24690,-10789,-751127,-65140,-60679,-31134,-37231,-44119,-19679,-7664,-848171,-56462,-33736,-46582,-26284,-27165,-20333,-8867,-980967,216233,-97044,-594196,43125,8678,-82231,13004,26943,-22896,21158,-15448,-72363,8887,10947,-31799,4003,16954,-15262,5011,-654,-28397,3125,-1203,easy
293219,51075,7908,10775,10632,9327,2902,1327,-250388,-32883,29542,7143,-3023,-1939,-266,45,-71169,-19344,8208,-9531,-3015,-7505,-1773,-913,-283840,-39431,103871,10849,-8422,-5771,-1597,-679,-265187,-33584,6680,14100,3652,-2197,-2028,558,179219,-212671,18653,13539,-20087,5847,-21334,95663,-97191,-16674,20380,3251,8,-5407,12074,-5566,1734,3574,-1507,176,-431,-958,234,1237,difficult
123468,26303,7279,5907,6366,3892,1997,2427,1487837,304391,56735,11699,2662,8412,4154,3424,149113,-12385,-3263,6266,7683,2516,39,-431,582018,626066,166847,42912,60309,37362,21260,25913,420078,35827,88860,9062,34193,18920,19695,8696,-1338724,432905,-161940,-316776,638451,-590239,-59998,170110,-77987,-5433,36646,-33850,5021,52626,-26116,-5896,34846,-18442,-4115,21221,-1565,-3855,26344,-17217,easy
293579,71810,24594,23006,13627,12773,4916,2419,-249564,-62042,-17684,-22479,-12552,-10904,-4398,-2148,36490,95867,15226,6689,9847,9338,1669,4065,416938,352396,24235,42126,25599,29289,25458,12718,608351,158123,-2305,16419,25169,-4525,7229,3453,286054,380448,191413,157909,256529,-194273,32910,9009,-26540,29168,35437,-25707,22399,15752,-430,20242,19951,-33814,6067,23789,-18229,6213,8653,-9265,difficult
258177,45129,12805,5412,6543,5370,4619,2048,-118489,-5504,8983,6408,589,3876,11876,3450,-109868,19937,-4291,3165,-495,11097,-560,-161,-225309,-34002,-11640,-3155,-5007,-4062,-4275,-1867,-215210,-14165,6273,9906,-2983,-2299,-4018,-1603,8621,-115441,10099,25441,-53939,19837,-13274,-7349,17913,-3243,-6320,13061,-1084,-4512,2024,7221,-15159,1763,-12436,-3715,257,-3611,-1706,264,easy
