delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,state
1468827,179626,114279,65518,41088,27399,-1321032,-134096,-108440,-62994,-39289,-18066,-1457814,-170940,-108635,-55561,-25902,-6665,-1404620,-146465,-97338,-56955,-18395,-8117,-136782,53194,-36844,24475,-195,11297,7433,-1394,13387,7507,11401,-1452,easy
548565,33603,9265,3706,19230,24313,-181515,189220,-7837,23556,-6597,-5122,-530556,-18797,-6439,2020,-16515,-22476,-494981,84776,1352,11585,-3786,-44,-349041,35575,-208017,103573,1398,7791,-21536,9565,-9918,12729,-17354,22432,difficult
215372,69719,26603,12951,11016,23529,547237,-40753,29145,-7031,15121,-11183,-125003,-47289,-15068,-3726,-1645,395,790145,10685,-21860,6891,-2039,-12226,-672240,915148,-6536,57974,-44213,-6792,3305,10617,-16766,-394,11578,-12621,easy
346992,73723,29417,33094,9679,13068,-133702,11533,-20544,-18231,-1694,-2387,-77447,-42480,-25922,-21388,-4719,-5987,1154183,206918,29938,9176,25965,153569,56255,1231630,-54013,249398,-5378,55860,-3157,30564,-3025,30684,-3600,159556,difficult
968112,139890,20553,11039,21042,41784,-957360,-115495,-8536,-8216,-6647,-19671,-875244,-111536,-3732,10216,4078,-18774,-951182,-135960,-19785,-9686,-11674,-35855,82116,-75938,3959,-24424,4804,-16053,18432,-19902,10725,-15752,897,-17081,easy
388411,215179,26970,32998,26302,35739,426841,-188703,-22484,-25716,-18550,-25814,10035,-169530,-12611,-25835,-18898,-22145,-363725,-203660,-18509,-25157,10496,-11298,-416806,-373760,19173,-34130,9873,-5898,-119,678,-348,29394,3669,10847,difficult
429703,172907,22777,9786,6717,11672,-327978,-157098,-17000,-3843,3312,-4480,-123223,-151641,-7397,-4382,11410,12706,-370473,-140386,-20498,-995,7243,19794,204755,-247250,5457,11255,9603,-13101,-539,3387,8098,-4167,17186,7088,easy
718322,169123,26693,34659,28809,34977,996229,125110,-6193,-2634,-11880,-6592,-326647,-108109,22596,-31541,23042,40040,-694817,-120121,-17336,-11339,-20895,27085,-1322876,-368170,-233219,-12012,28789,-39932,-28907,20202,34922,-43937,46632,-12955,difficult
117076,44610,8799,7935,7615,7414,3947,22954,13529,-2821,5251,28,-98345,-18500,3400,16358,15885,26139,195783,4043,-2217,-4423,-3249,9728,-102292,294128,-41454,22543,-10129,-5617,19179,-20781,10634,-19134,26111,-16411,easy
506320,77646,26573,14264,24017,34891,-492158,-63913,-25689,-9136,-12424,308,-435011,-54883,-21476,-5674,-12338,-27240,-478218,-67859,-23272,-10175,-18745,-29455,57147,-43207,9030,-12976,4213,-1796,3462,-4501,86,-6407,-27548,-2215,difficult
722512,51879,42661,11703,3617,11282,-673685,-27505,-42145,-6589,4474,-6118,-372641,-1719,-23503,-321,25254,7082,-687677,46844,-33553,-604,25968,5168,301044,-315036,25786,48563,18642,-10050,6268,-283,20780,714,13200,-1914,easy
546870,190969,52838,66197,17466,58021,-468212,-161015,-44241,-58604,-16679,-51269,792209,89117,-30782,-48903,-9980,-27561,-362678,-150401,-40166,-63381,-13423,-53371,1260421,-1154887,250132,-239518,13459,-9384,9701,-14478,6699,-3443,23708,-25810,difficult
936731,29953,8583,5582,7923,19859,-732827,-13532,-7467,-4898,-5454,-18592,-816349,105333,29418,28197,21129,21658,-804319,-10603,-357,-100,-87,-8789,-83522,12030,118865,-115936,36885,-29775,33095,-28297,26583,-21216,40250,-30447,easy
432707,230237,22375,12081,11263,15762,-259017,-114954,-1185,-7594,-2003,-10803,1846776,-125166,292,1443,13993,54054,1363512,-196672,-12644,33655,1273,9283,2105793,-483264,-10212,-71506,1477,-12936,9037,32212,15996,-12720,64857,-44771,difficult
1060520,163683,25568,18627,37261,40269,-615942,-91345,27872,-7510,-18736,-11606,-919640,14551,31742,-228,-24312,-17372,-855373,-86401,-7921,-6541,-2271,-25548,-303698,64267,105896,-100952,3870,-39663,7282,-6313,-5576,22041,-5766,-8176,easy
902317,25786,16995,7705,5277,16120,-733291,26696,1927,489,7962,45568,-440699,1126,1349,14008,12978,32921,-847051,1082,-15044,293,989,-5305,292592,-406352,-25570,-44,-578,-16393,13519,-13715,5016,-11989,-12647,-38226,difficult
