delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
1001575,342349,54917,33285,12129,24845,56464,12683,-168894,-114837,23971,-11400,-2394,12600,15912,8118,54820,918979,18343,23685,29276,10169,10111,21979,-480702,-320670,-36989,-30232,-4140,-12490,-43194,-7938,-404978,-317365,-46391,-17736,-7651,-14574,-46672,-6382,-958257,-320610,-48673,-32281,-8776,-20809,-52860,-11289,easy
608319,95644,24739,10600,5315,6392,13958,4272,584750,-28291,-11277,3618,16794,7981,-1426,9753,-205342,20830,-15796,3821,3491,17485,20416,12544,1592052,134289,40458,61274,95409,49113,76343,19365,36249,213462,-10572,34877,19002,13646,-761,12947,353784,65137,-1916,-6302,10578,8453,-1779,3155,difficult
501552,73937,21766,9171,10032,14955,13940,8022,454589,512324,31800,19857,34448,6307,71055,17833,-45978,228227,19925,2819,6734,1736,3374,-4972,-14861,-50867,-6759,-6593,-5827,-11102,-10043,-5880,195865,78610,125166,28721,15022,38837,22827,18728,-293858,-55705,-17066,-1355,-4515,-11877,-12816,-6343,easy
978338,77136,13705,8070,7466,6852,4207,3104,-741580,-70972,-6178,-6387,-6253,-4736,-2331,-2022,-673397,381267,22781,11144,-1678,5796,5776,3387,-251573,-7099,-7048,-945,3751,-2772,1917,-1609,784473,68537,14261,3496,10629,17886,2206,5211,-633774,39656,23033,11197,2567,4357,23829,970,difficult
1626316,567795,70844,178857,29884,52126,53248,44616,192399,-424428,-68423,-158195,-4166,-35283,-31079,-36420,522347,-445592,-35767,-125731,3116,3332,41747,-16711,-166187,-168762,-24465,-104590,13029,1386,15070,-21946,-1369885,-514029,-58444,-172129,-27009,-50075,-48721,-42651,-885360,-227931,-3525,-137340,5954,4329,17077,-14744,easy
294753,43848,11701,10480,4132,11173,9591,4923,141234,286676,7323,7323,21285,4857,7527,2431,187046,-26167,12238,4295,6940,78481,12387,37924,515188,403024,217815,26359,29403,24052,14134,16356,1569221,119279,30304,3719,24422,557,1399,2683,605536,51541,-4288,-1305,-2713,287,10878,6264,difficult
1149418,277534,126407,44654,46787,38946,37298,21575,-681772,-70821,-105988,7767,-25046,-31089,-15042,-12388,268171,654271,-79716,46127,-2822,44070,63293,15118,-775169,-265964,-122017,-42526,-44204,-32377,-30299,-20178,-556136,450032,114417,2452,2238,43926,4760,-3664,-205751,-166072,-79408,-27228,-32091,-22836,-14778,2297,easy
1216019,73197,14628,16693,17485,18040,14476,4690,184943,234254,24732,17703,17731,14544,15382,13948,-14751,166745,77710,32024,31370,63436,26303,38207,-324110,-53808,-8701,-12191,-9837,-14849,-11745,-3381,-1086334,20794,-12959,3132,-11547,-5591,-11435,-2663,-382200,142523,7775,18405,15234,61,-4861,1653,difficult
795090,207657,39272,15658,9448,9074,15018,4983,-359181,-9445,-31344,15329,8339,9254,4538,4204,185355,-198251,-32467,-14032,-6976,-2040,-12073,-1635,275087,-124360,-16743,-1892,3377,6336,15794,6304,177295,-141330,42493,7011,-4890,-906,27583,1762,767727,642270,22595,58354,42804,18039,43407,41387,easy
1272382,335597,38240,32835,36876,25469,24415,27156,-1190959,-317012,-27047,-25893,-26836,-22193,-17838,-25416,1323875,625103,65345,-5726,-12554,62115,8854,-6240,-908174,-245542,-35850,-32019,-35669,-21763,-22577,-24957,-686520,-268622,-8806,-24022,-29981,-17799,-8978,-18390,411987,-267179,-32717,-11251,-29506,745,-8137,-19557,difficult
