delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_cc0,delta_cc1,theta_cc0,theta_cc1,lowalpha_cc0,lowalpha_cc1,highalpha_cc0,highalpha_cc1,lowbeta_cc0,lowbeta_cc1,highbeta_cc0,highbeta_cc1,lowgamma_cc0,lowgamma_cc1,midgamma_cc0,midgamma_cc1,state
893101,317210,131470,28201,24178,15735,17636,2916,-880871,-314380,-114356,-11725,-11568,24158,3204,8863,-806059,-309550,-128565,-26086,-16675,-6580,-10913,1274,-861449,-304012,-121762,-6536,-15033,23375,15985,2208,74812,-55390,4830,5538,-14209,6803,-14361,19550,-5107,1642,-30738,29955,-14117,26898,-7589,934,difficult
229275,93718,22223,17827,26002,25023,17509,5635,-130401,-90378,-19076,-16579,-24629,-22415,-16012,-4601,-134885,-73518,-20714,-16719,-23863,-23463,-16570,-4680,-224524,-87944,-20238,-10901,-23583,-16869,-13186,-2413,-4484,-89639,16860,-14426,-1638,476,-140,5818,766,280,-1048,6594,-558,3384,-79,2267,easy
66809,24568,25224,17546,11466,35423,22288,10035,22396,20712,-19979,-16189,-3550,-25414,-15423,-7132,-54532,-17843,-17009,-7450,5750,19364,-8914,16379,-60753,-986,4984,-9223,4843,7475,-14352,5608,-76928,-6221,-38555,16857,2970,21993,8739,-1773,9300,-907,44778,-11889,6509,-5438,23511,-10771,difficult
267603,127355,45228,8237,20193,46439,21192,21556,-216830,-91654,-36751,4110,-11742,-36776,-17891,-18864,-118318,-32622,-12373,7254,-11480,6777,16751,-2304,-266112,-121161,-44827,-6839,-14806,-38151,-16967,-19700,98512,-147794,59032,-88539,24378,-32454,3144,-14093,262,-3326,43553,-44928,34642,-33718,16560,-17396,easy
316193,24757,14286,7790,5388,7316,4626,3471,-165776,56815,13142,3722,19195,5009,3492,7830,-227025,-19011,-13930,-4759,-4179,-6693,-4315,-3242,-170900,28312,-12981,-2961,-264,-3145,-3951,-3006,-61249,56125,-75826,47323,-27072,949,-8481,1798,-23374,3915,-11702,3548,-7807,364,-11072,236,difficult
689294,17998,3954,4646,2912,3767,2085,1589,-684425,-7258,-6,2223,3845,14464,13204,7131,-684905,13324,14385,19155,15739,13579,11660,13956,-676689,27920,25585,22601,21216,18746,7482,17975,-480,8216,20582,14596,14391,11200,16932,3446,11894,5477,-885,5167,-1544,-4178,6825,4019,easy
225231,105842,17429,10240,19854,28370,23069,13227,-138155,-101186,-15889,-9244,-18497,-25241,-21073,-12319,-164518,-73153,-7121,11069,-6204,18384,-5009,903,77241,-29524,-8269,-5069,-14377,-20931,-20179,-11440,-26363,241759,28033,43629,8768,-1148,20313,-16138,12293,-8173,43625,-39315,16064,-15170,13222,-12343,difficult
170618,19859,11366,3432,2598,8179,2305,1489,-146579,-11307,-8436,9486,5618,16732,11424,11531,-137985,22686,26922,1761,23967,8902,9410,13168,-160331,-16556,-8042,6911,835,-1561,8129,1828,8594,-22346,33993,-39242,35358,-34964,-7725,5150,18349,-23132,-7830,-10463,-2014,-1281,1637,-11340,easy
352102,31795,10315,18637,22616,13334,5475,6114,461857,88061,-4794,-10961,-20486,-5302,-1905,-4184,192519,-14718,-6568,5912,-16783,16158,7140,15323,-239623,-27846,-6864,-15508,-22116,-11564,-4381,-5698,-269338,-432142,-102779,-13128,-1774,-296,16873,-21420,3703,-5333,21460,-27722,9045,-11521,19507,-21021,difficult
1187486,367195,43328,28627,26224,28876,32685,24847,-850059,-238311,-36452,-17526,11351,-4928,8056,7970,-1186291,-365740,-42508,-22340,-23459,-23498,-29511,-22680,-1110505,-329731,-39093,-3823,-8522,-6816,-17090,291,-336232,75786,-127429,36009,-6056,3415,-4814,18517,-34810,14937,-18570,16682,-37567,12421,-30650,22971,easy
