delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,lowgamma_base_ave,midgamma_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,state
722512,51879,42661,11703,3617,11282,16878,16616,-673685,-27505,-42145,-6589,4474,-6118,-11976,-12623,-372641,-1719,-23503,-321,25254,7082,3690,-3591,-687677,46844,-33553,-604,25968,5168,-5422,-3129,easy
546870,190969,52838,66197,17466,58021,59946,16656,-468212,-161015,-44241,-58604,-16679,-51269,-55022,-14335,792209,89117,-30782,-48903,-9980,-27561,-55088,-4879,-362678,-150401,-40166,-63381,-13423,-53371,-57948,-14763,difficult
936731,29953,8583,5582,7923,19859,16643,11906,-732827,-13532,-7467,-4898,-5454,-18592,-15944,-11330,-816349,105333,29418,28197,21129,21658,-672,-3654,-804319,-10603,-357,-100,-87,-8789,-11020,-10194,easy
432707,230237,22375,12081,11263,15762,22485,6054,-259017,-114954,-1185,-7594,-2003,-10803,-19947,-2023,1846776,-125166,292,1443,13993,54054,18575,8788,1363512,-196672,-12644,33655,1273,9283,-1226,15818,difficult
1060520,163683,25568,18627,37261,40269,34034,13736,-615942,-91345,27872,-7510,-18736,-11606,11220,-1285,-919640,14551,31742,-228,-24312,-17372,-26098,-2662,-855373,-86401,-7921,-6541,-2271,-25548,-25977,-10186,easy
902317,25786,16995,7705,5277,16120,8654,2500,-733291,26696,1927,489,7962,45568,7634,9182,-440699,1126,1349,14008,12978,32921,8449,14197,-847051,1082,-15044,293,989,-5305,6578,7295,difficult
550592,182862,30890,22732,30740,38381,42314,12968,-520655,-165255,27895,-11200,-15853,-16468,-28535,1844,-485217,-112482,22762,-13874,-5977,-21172,-33692,16423,-98102,-84195,4860,-4282,-24074,-20733,-35930,-6002,easy
1186746,133099,13089,17335,14781,18365,25692,10240,125372,-73775,8284,19972,27198,-9927,126294,36544,-856267,-95654,8548,-2389,-5487,21998,416350,-7833,1527524,481823,28909,52426,122303,66018,380155,113525,difficult
325279,24843,4771,11207,11746,12300,11508,10190,-310992,-5821,4382,12999,-928,23134,10519,5553,82474,16295,20624,7415,1512,17319,6651,6886,82474,16295,20624,7415,1512,17319,6651,6886,easy
1136359,218225,30196,59861,22724,77472,47759,24255,-515003,38967,-661,-57813,-12211,-67339,-43822,-16605,1542993,342704,-9768,41250,57670,-5766,-19592,-6480,-1092150,-175029,-26377,-53554,-18067,-68206,-36630,-20684,difficult
