delta_base_ave,theta_base_ave,lowalpha_base_ave,highalpha_base_ave,lowbeta_base_ave,highbeta_base_ave,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,delta_cc0,delta_cc1,delta_cc2,theta_cc0,theta_cc1,theta_cc2,lowalpha_cc0,lowalpha_cc1,lowalpha_cc2,highalpha_cc0,highalpha_cc1,highalpha_cc2,lowbeta_cc0,lowbeta_cc1,lowbeta_cc2,highbeta_cc0,highbeta_cc1,highbeta_cc2,state
50150,17334,2006,18369,5686,27238,-27654,-7299,32367,-1144,261,-15131,-26057,-739,11652,-6176,647,-11373,-42262,7477,6804,9810,6059,-5659,18638,19548,2636,-16839,-3127,-24916,1597,-16205,60900,6560,8216,12071,-20715,-4848,-4168,-5032,15986,-26649,386,5412,-9186,3758,5714,-19257,easy
184561,24721,3468,34574,9082,18717,4800,17541,1662,-23164,-393,-12419,-157482,4123,20842,-32450,3660,31121,-94937,-10188,1316,-31716,-4691,-14103,-166468,-22132,1898,-26364,-62,31271,-162282,62545,-71531,-13418,-14311,-11944,19180,-19526,582,-9286,734,5352,4053,-8351,4629,43540,-45224,45374,difficult
22279,30174,5261,12543,11920,16864,83900,-25046,-2477,-8444,-10342,-14945,-7437,-22736,-1298,-8995,-9581,-10268,13529,-15256,-503,9129,-1149,34076,13529,-15256,-503,9129,-1149,34076,-91337,20966,0,2310,7480,0,1179,795,0,-551,18124,0,761,8432,0,4677,44344,0,easy
76169,28034,11648,8372,2813,21600,540288,65468,10240,-1033,3287,8918,-54601,-1410,-10533,5230,5901,21580,-66894,5052,-1759,23088,5733,19462,-70418,5559,4771,8076,2972,-8321,-594889,-12293,-3524,-66878,6462,507,-20773,8774,6530,6263,17858,-15012,2614,-168,-2761,12662,-2118,-27783,difficult
415537,61081,22698,7518,8808,18441,-406681,-55863,-9998,-89,-1384,14183,-411815,-48068,-20730,2073,-2365,-1898,-414927,-53366,-13278,-256,-5854,-2338,-264507,-45700,-16884,-279,-6846,-16075,-5134,-3112,150420,7795,-5298,7666,-10732,7452,-3606,2162,-2329,-23,-981,-3489,-992,-16081,-440,-13737,easy
225789,69695,37444,16277,23766,45476,-220852,-43675,-34411,-1636,-19890,-29187,-219340,-62798,-34293,-12102,-8142,-9958,-212754,-32214,-16837,-10608,-19043,-25961,-213083,-55273,-34780,-12003,-22259,-43283,1512,6586,-329,-19123,30584,-23059,118,17456,-17943,-10466,1494,-1395,11748,-10901,-3216,19229,-16003,-17322,difficult
302846,51259,9780,6817,5121,10014,-289314,-32326,-3253,-937,-165,15725,-295880,-44735,-6487,-3468,542,49746,-298912,-47083,-8305,2208,-2727,9581,-294422,-45365,-738,-1493,-1678,12658,-6566,-3032,4490,-12409,-2348,1718,-3234,-1818,7567,-2531,5676,-3701,707,-3269,1049,34021,-40165,3077,easy
338184,46305,6980,37877,9924,11706,-115402,-32594,-5503,-21995,-7337,-2239,2152170,-2008,5155,18744,-4666,8104,226918,806113,151031,-9404,18727,70989,-71753,45201,-5212,-29044,261,-4957,2267572,-1925252,-298671,30586,808121,-760912,10658,145876,-156243,40739,-28148,-19640,2671,23393,-18466,10343,62885,-75946,difficult
650772,94445,13858,11589,9238,15601,-600145,-51506,-3413,-8206,-6642,847,-642917,-80486,-8509,8377,-2497,-7353,-649044,-83347,-3119,-951,-4130,35514,-637995,-90976,-11671,-1358,-5983,33652,-42772,-6127,11049,-28980,-2861,-7629,-5096,5390,-8552,16583,-9328,-407,4145,-1633,-1853,-8200,42867,-1862,easy
200576,42137,13392,3832,6142,16469,-23676,-9153,11099,25411,3042,11674,-156264,-21691,598,35455,3097,22177,-181762,-33128,-2163,-427,-2121,4521,-148506,-18842,4010,-1858,3178,-2986,-132588,-25498,33256,-12538,-11437,14286,-10501,-2761,6173,10044,-35882,-1431,55,-5218,5299,10503,-17656,-7507,difficult
