delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
56704-20703-39920-40037-61830-304196-931129-76511,11585-13293-10312-43324-21045-90919-133869-59047,4619-8628-15539-24776-10076-48504-12230-6893,2816-13558-23996-12224-9664-19289-24291-14794,3102-13116-7056-12536-8829-18076-7241-3569,2693-8353-6674-12189-11489-14471-17475-5326,742-12543-2926-6495-7541-14719-14906-6352,1010-5278-3432-3939-3289-5628-26167-1822,easy
20703-39920-40037-61830-304196-931129-76511-244317,13293-10312-43324-21045-90919-133869-59047-66915,8628-15539-24776-10076-48504-12230-6893-22718,13558-23996-12224-9664-19289-24291-14794-6190,13116-7056-12536-8829-18076-7241-3569-3601,8353-6674-12189-11489-14471-17475-5326-11078,12543-2926-6495-7541-14719-14906-6352-4808,5278-3432-3939-3289-5628-26167-1822-2415,easy
39920-40037-61830-304196-931129-76511-244317-6748,10312-43324-21045-90919-133869-59047-66915-7639,15539-24776-10076-48504-12230-6893-22718-8295,23996-12224-9664-19289-24291-14794-6190-12749,7056-12536-8829-18076-7241-3569-3601-4959,6674-12189-11489-14471-17475-5326-11078-2226,2926-6495-7541-14719-14906-6352-4808-1751,3432-3939-3289-5628-26167-1822-2415-764,easy
40037-61830-304196-931129-76511-244317-6748-1485007,43324-21045-90919-133869-59047-66915-7639-123697,24776-10076-48504-12230-6893-22718-8295-35671,12224-9664-19289-24291-14794-6190-12749-12269,12536-8829-18076-7241-3569-3601-4959-25498,12189-11489-14471-17475-5326-11078-2226-9034,6495-7541-14719-14906-6352-4808-1751-5629,3939-3289-5628-26167-1822-2415-764-9151,easy
61830-304196-931129-76511-244317-6748-1485007-27559,21045-90919-133869-59047-66915-7639-123697-24915,10076-48504-12230-6893-22718-8295-35671-7427,9664-19289-24291-14794-6190-12749-12269-1558,8829-18076-7241-3569-3601-4959-25498-6828,11489-14471-17475-5326-11078-2226-9034-2735,7541-14719-14906-6352-4808-1751-5629-2325,3289-5628-26167-1822-2415-764-9151-856,easy
304196-931129-76511-244317-6748-1485007-27559-902992,90919-133869-59047-66915-7639-123697-24915-160752,48504-12230-6893-22718-8295-35671-7427-5981,19289-24291-14794-6190-12749-12269-1558-17807,18076-7241-3569-3601-4959-25498-6828-8133,14471-17475-5326-11078-2226-9034-2735-4510,14719-14906-6352-4808-1751-5629-2325-7866,5628-26167-1822-2415-764-9151-856-4453,easy
931129-76511-244317-6748-1485007-27559-902992-1603230,133869-59047-66915-7639-123697-24915-160752-161212,12230-6893-22718-8295-35671-7427-5981-59526,24291-14794-6190-12749-12269-1558-17807-21913,7241-3569-3601-4959-25498-6828-8133-44626,17475-5326-11078-2226-9034-2735-4510-60480,14906-6352-4808-1751-5629-2325-7866-17191,26167-1822-2415-764-9151-856-4453-20263,easy
76511-244317-6748-1485007-27559-902992-1603230-83539,59047-66915-7639-123697-24915-160752-161212-30858,6893-22718-8295-35671-7427-5981-59526-24295,14794-6190-12749-12269-1558-17807-21913-10542,3569-3601-4959-25498-6828-8133-44626-11016,5326-11078-2226-9034-2735-4510-60480-12881,6352-4808-1751-5629-2325-7866-17191-6401,1822-2415-764-9151-856-4453-20263-4878,easy
244317-6748-1485007-27559-902992-1603230-83539-155608,66915-7639-123697-24915-160752-161212-30858-72170,22718-8295-35671-7427-5981-59526-24295-18571,6190-12749-12269-1558-17807-21913-10542-26118,3601-4959-25498-6828-8133-44626-11016-10094,11078-2226-9034-2735-4510-60480-12881-7250,4808-1751-5629-2325-7866-17191-6401-8478,2415-764-9151-856-4453-20263-4878-1521,easy
6748-1485007-27559-902992-1603230-83539-155608-22182,7639-123697-24915-160752-161212-30858-72170-7077,8295-35671-7427-5981-59526-24295-18571-8137,12749-12269-1558-17807-21913-10542-26118-1917,4959-25498-6828-8133-44626-11016-10094-6107,2226-9034-2735-4510-60480-12881-7250-3593,1751-5629-2325-7866-17191-6401-8478-3165,764-9151-856-4453-20263-4878-1521-1686,easy
1485007-27559-902992-1603230-83539-155608-22182-842343,123697-24915-160752-161212-30858-72170-7077-184103,35671-7427-5981-59526-24295-18571-8137-99900,12269-1558-17807-21913-10542-26118-1917-89724,25498-6828-8133-44626-11016-10094-6107-67965,9034-2735-4510-60480-12881-7250-3593-87366,5629-2325-7866-17191-6401-8478-3165-32706,9151-856-4453-20263-4878-1521-1686-27451,easy
27559-902992-1603230-83539-155608-22182-842343-482940,24915-160752-161212-30858-72170-7077-184103-248748,7427-5981-59526-24295-18571-8137-99900-65792,1558-17807-21913-10542-26118-1917-89724-45995,6828-8133-44626-11016-10094-6107-67965-34115,2735-4510-60480-12881-7250-3593-87366-54553,2325-7866-17191-6401-8478-3165-32706-21560,856-4453-20263-4878-1521-1686-27451-9662,easy
902992-1603230-83539-155608-22182-842343-482940-83175,160752-161212-30858-72170-7077-184103-248748-17032,5981-59526-24295-18571-8137-99900-65792-11642,17807-21913-10542-26118-1917-89724-45995-76733,8133-44626-11016-10094-6107-67965-34115-24363,4510-60480-12881-7250-3593-87366-54553-30027,7866-17191-6401-8478-3165-32706-21560-14970,4453-20263-4878-1521-1686-27451-9662-6799,easy
