delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
29665-740171-50753-10016-4668-8181-7296-6371,84051-60687-33684-28458-12273-21400-18246-8756,22644-1963-13072-12620-6486-17706-4602-15129,10298-24069-40929-17372-15276-7340-11406-69150,37561-17461-6413-2964-6001-7912-21317-5263,8321-7439-6198-10346-8211-4728-14267-8858,6395-4847-8817-3407-3950-2483-3700-4568,3829-2194-6752-2312-2509-2240-2153-2403,easy
740171-50753-10016-4668-8181-7296-6371-32947,60687-33684-28458-12273-21400-18246-8756-22809,1963-13072-12620-6486-17706-4602-15129-5650,24069-40929-17372-15276-7340-11406-69150-4698,17461-6413-2964-6001-7912-21317-5263-5051,7439-6198-10346-8211-4728-14267-8858-6694,4847-8817-3407-3950-2483-3700-4568-2504,2194-6752-2312-2509-2240-2153-2403-2081,easy
50753-10016-4668-8181-7296-6371-32947-26306,33684-28458-12273-21400-18246-8756-22809-33688,13072-12620-6486-17706-4602-15129-5650-7090,40929-17372-15276-7340-11406-69150-4698-2352,6413-2964-6001-7912-21317-5263-5051-6218,6198-10346-8211-4728-14267-8858-6694-5477,8817-3407-3950-2483-3700-4568-2504-2265,6752-2312-2509-2240-2153-2403-2081-3844,easy
10016-4668-8181-7296-6371-32947-26306-20367,28458-12273-21400-18246-8756-22809-33688-30602,12620-6486-17706-4602-15129-5650-7090-5387,17372-15276-7340-11406-69150-4698-2352-34392,2964-6001-7912-21317-5263-5051-6218-10046,10346-8211-4728-14267-8858-6694-5477-12580,3407-3950-2483-3700-4568-2504-2265-5059,2312-2509-2240-2153-2403-2081-3844-1907,easy
4668-8181-7296-6371-32947-26306-20367-67714,12273-21400-18246-8756-22809-33688-30602-83610,6486-17706-4602-15129-5650-7090-5387-8372,15276-7340-11406-69150-4698-2352-34392-74545,6001-7912-21317-5263-5051-6218-10046-12963,8211-4728-14267-8858-6694-5477-12580-9740,3950-2483-3700-4568-2504-2265-5059-10934,2509-2240-2153-2403-2081-3844-1907-1325,easy
8181-7296-6371-32947-26306-20367-67714-107262,21400-18246-8756-22809-33688-30602-83610-42711,17706-4602-15129-5650-7090-5387-8372-10384,7340-11406-69150-4698-2352-34392-74545-29123,7912-21317-5263-5051-6218-10046-12963-11642,4728-14267-8858-6694-5477-12580-9740-5332,2483-3700-4568-2504-2265-5059-10934-5495,2240-2153-2403-2081-3844-1907-1325-2043,easy
7296-6371-32947-26306-20367-67714-107262-30864,18246-8756-22809-33688-30602-83610-42711-15894,4602-15129-5650-7090-5387-8372-10384-8715,11406-69150-4698-2352-34392-74545-29123-8787,21317-5263-5051-6218-10046-12963-11642-9356,14267-8858-6694-5477-12580-9740-5332-4936,3700-4568-2504-2265-5059-10934-5495-3000,2153-2403-2081-3844-1907-1325-2043-3660,easy
6371-32947-26306-20367-67714-107262-30864-6962,8756-22809-33688-30602-83610-42711-15894-21012,15129-5650-7090-5387-8372-10384-8715-3839,69150-4698-2352-34392-74545-29123-8787-21907,5263-5051-6218-10046-12963-11642-9356-16438,8858-6694-5477-12580-9740-5332-4936-6888,4568-2504-2265-5059-10934-5495-3000-4441,2403-2081-3844-1907-1325-2043-3660-1788,easy
32947-26306-20367-67714-107262-30864-6962-40092,22809-33688-30602-83610-42711-15894-21012-31760,5650-7090-5387-8372-10384-8715-3839-14623,4698-2352-34392-74545-29123-8787-21907-7884,5051-6218-10046-12963-11642-9356-16438-9433,6694-5477-12580-9740-5332-4936-6888-6156,2504-2265-5059-10934-5495-3000-4441-4967,2081-3844-1907-1325-2043-3660-1788-2712,easy
26306-20367-67714-107262-30864-6962-40092-99206,33688-30602-83610-42711-15894-21012-31760-51103,7090-5387-8372-10384-8715-3839-14623-4314,2352-34392-74545-29123-8787-21907-7884-2320,6218-10046-12963-11642-9356-16438-9433-12208,5477-12580-9740-5332-4936-6888-6156-4117,2265-5059-10934-5495-3000-4441-4967-4126,3844-1907-1325-2043-3660-1788-2712-1964,easy
20367-67714-107262-30864-6962-40092-99206-18386,30602-83610-42711-15894-21012-31760-51103-53828,5387-8372-10384-8715-3839-14623-4314-5091,34392-74545-29123-8787-21907-7884-2320-6895,10046-12963-11642-9356-16438-9433-12208-10224,12580-9740-5332-4936-6888-6156-4117-5245,5059-10934-5495-3000-4441-4967-4126-5177,1907-1325-2043-3660-1788-2712-1964-2992,easy
67714-107262-30864-6962-40092-99206-18386-13688,83610-42711-15894-21012-31760-51103-53828-42253,8372-10384-8715-3839-14623-4314-5091-4185,74545-29123-8787-21907-7884-2320-6895-11319,12963-11642-9356-16438-9433-12208-10224-8326,9740-5332-4936-6888-6156-4117-5245-11266,10934-5495-3000-4441-4967-4126-5177-3462,1325-2043-3660-1788-2712-1964-2992-1515,easy
