delta_c0,theta_c0,lowalpha_c0,highalpha_c0,lowbeta_c0,highbeta_c0,lowgamma_c0,midgamma_c0,delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,delta_c7,theta_c7,lowalpha_c7,highalpha_c7,lowbeta_c7,highbeta_c7,lowgamma_c7,midgamma_c7,state
408244,224846,25573,15261,10422,1067,22288,3316,-408244,-224845,-25572,-15261,-10422,-1066,-22287,-3315,54518,-75869,-49508,20592,29638,1919,-4831,6241,-565352,-275256,-47888,-31074,-12397,-13844,-35653,-3704,172989,-201014,-38964,-4653,4784,24396,-24956,13310,-242172,-306346,-54664,-4441,17261,-3693,-24054,14833,2161085,-159678,-29856,-10095,7736,10736,-17780,3296,-573618,-270171,-52887,-31714,-9656,-8221,-33555,-4705,1
-254205,463926,58361,14197,13073,25218,6903,18259,254206,-463925,-58360,-14196,-13072,-25217,-6902,-18258,65567,-470714,-119357,-49527,-17700,-7393,2246,-17572,-251173,-425045,-120966,-31420,-23661,-7524,-20029,-23731,-177363,-456594,-104667,-41753,1534,-30913,10305,-18960,-348074,-474444,-87487,-51278,-9880,-30283,-13808,-27842,-331465,-467018,-115879,-46781,-31961,-37038,-25436,-29766,-318714,-463675,-112063,-49738,-27347,-50451,-34860,-33790,1
528562,52487,118949,46162,42329,12484,29710,2410,-528562,-52487,-118949,-46161,-42328,-12483,-29710,-2410,1679994,132809,-63092,12678,-31480,9646,-11363,12661,-761034,-89826,-129471,-58768,-49782,-14850,-38566,-4607,-897816,-126670,-129666,-51335,-36395,-3449,-22604,-796,-844622,-102195,-118369,-52729,-28888,-4901,-37243,-2416,-403290,-94202,-124903,-46942,-28069,-2941,-21288,3892,-885643,-103540,-128769,-50249,-43980,3016,-34996,-451,0
96766,13564,6617,-8357,8019,12621,-4153,355,-96765,-13563,-6616,8358,-8019,-12620,4154,-355,247447,-1003,-9489,-11917,-11658,-17217,-14740,-17767,629720,-41087,25982,-11003,11235,-16922,-8841,-17687,-42520,-47623,-18231,-7698,-5531,-5344,-11153,-14056,872628,10351,-25023,2919,-5925,-17965,510,-6562,796027,42957,6838,10257,1966,-16101,-2103,5565,2834702,988182,203426,10151,23121,42078,99241,44705,0
-283167,209942,14404,-501,658,4303,-5071,1796,283168,-209942,-14403,501,-657,-4303,5071,-1796,-566948,-217518,-29013,-3412,1885,-8120,-8779,-1224,-516960,-229604,-26671,-4980,3941,-7187,-7276,-962,-312205,-224147,-17068,-5519,12039,9999,6083,5344,-559455,-212892,-30169,-2132,7872,17087,3426,4579,-318677,-180300,-24285,6402,24937,36370,7718,9308,-142600,-233539,-27774,-9941,-2635,-12351,-8023,-3751,0
40369,2378,14584,4708,5137,1675,1104,2356,-40368,-2378,-14583,-4707,-5137,-1675,-1103,-2355,276950,3730,-14221,2549,20231,49368,29179,11333,-273039,9638,-17420,-628,7771,23885,6017,37815,-188347,19957,2978,16145,938,96322,13513,9800,-259054,38584,-7174,20137,40935,15805,31630,9120,-269168,-9779,-2438,16214,12959,36745,18166,688,-15371,51317,-16132,587,-3471,3809,-1397,-5405,1
65120,49420,1867,9614,3949,1454,4136,592,-65119,-49419,-1867,-9614,-3949,-1454,-4135,-592,84757,-32999,2901,-9330,76,1440,-7027,2411,32200,11955,14496,-5931,5276,508,-7546,-1304,-70092,-29499,4367,13248,15910,26619,12414,9083,224036,-6956,-1250,-7533,-3224,10208,-5570,859,-45586,-37126,-2961,-6453,-3674,9111,-4699,2074,-4862,-31440,131,-10197,-5903,-3330,-8136,-1133,0
31665,9600,9218,-3112,13309,5906,6244,4504,-31664,-9599,-9217,3112,-13308,-5906,-6243,-4503,-35912,49266,-3552,4914,9063,10321,28182,4537,143960,15194,-8010,4436,-6581,-1148,-8731,-4472,1417697,65679,25682,7453,-7987,13902,-2087,-113,40688,127897,-3341,8795,7432,24407,15481,-914,119026,16797,-5719,13616,5678,30285,15128,3452,180200,4587,-7169,-3021,-20967,5891,-1867,-5808,1
951225,64205,20296,12320,7818,459,3718,5450,-951225,-64204,-20296,-12320,-7818,-459,-3718,-5450,-1602143,-44874,11081,-11706,41103,71308,18193,18847,-207462,-21267,-21380,-6201,22977,25846,41201,26679,-1180506,1579,1196,-614,18539,31852,14161,12462,-1346436,-32241,-47989,-10785,1177,3018,-3807,-6061,-1592329,-83483,-45048,-11417,15408,13587,6990,12505,-1584974,-52372,-42626,-12818,-1454,998,-7778,-5752,1
229709,22018,12487,8945,-1561,2360,-2424,-1056,-229708,-22018,-12486,-8945,1561,-2359,2425,1057,466051,-31175,-13130,-19127,-6227,5738,-8622,837,-379168,-33467,-21912,-20002,991,-11644,-12176,-1923,-54927,14648,-8802,-11609,4692,19494,12092,25837,37048,214649,23943,-11148,16361,37971,13419,12172,377156,-43911,-9091,-18831,5678,29954,8006,19624,-332747,-37653,-20700,-20006,-3382,-1430,-10539,-3304,1
943229,54743,60871,12889,226,11274,17959,21585,-943229,-54742,-60870,-12888,-226,-11273,-17958,-21584,-987253,-62999,-57130,-9470,4770,-5332,-13430,-17116,-1002769,-48504,-61188,-9745,6064,-7895,-16452,-18328,-701725,-22718,-42546,-3477,26844,5305,-786,-9296,-1016761,25845,-52596,-3760,27558,3391,-9898,-8834,-1039875,-35020,-41821,13404,15069,6744,-12824,-14714,-1042723,-68459,-57332,-7016,9288,7831,-8524,-13685,0
-336008,198643,5199,24991,27126,5240,4204,-7122,336009,-198643,-5199,-24991,-27126,-5239,-4203,7122,-484736,-270714,-7196,-9999,-9251,-9089,-21974,-14398,259487,-236961,-6099,-27045,-29502,-33098,-30365,-24529,-476861,-267598,11328,-24684,-423,1055,-10363,3481,-398667,-143970,-10169,-12401,-12907,3038,-11445,-20469,-569437,-277117,5112,-12769,14518,43460,-12867,-12392,-220566,-300703,-13064,-32209,-31131,-31989,-31835,-24565,1
45309,24207,3633,10897,7322,17324,7955,19478,-45308,-24207,-3633,-10897,-7322,-17324,-7954,-19477,-18302,130190,138600,-5832,31552,-10085,89569,9794,-583779,-2428,3299,-1152,-6501,-28191,-14596,-20356,-642570,-126584,7889,-16208,-5822,-29036,-16961,-22276,-359584,-81179,22647,-27,8403,-15922,-12401,-19125,-654335,-129897,14258,-15723,513,-23516,3965,-19942,-612112,-131298,3937,-11650,-7799,-25940,-16879,-21990,1
102920,-20896,663,-3612,-4160,-20767,-18553,-12688,-102920,20896,-663,3613,4160,20768,18553,12689,-1044513,-26330,-7338,-4305,2184,-11086,-14219,-6856,-1080998,-22309,-9913,-6333,-4726,-22287,-20684,-13615,-1164520,96556,26972,26762,21857,17963,-5412,-5939,-1152490,-19380,-2803,-1535,641,-12484,-15760,-12479,-687310,-21727,-7652,-2972,-2999,-14219,-15665,-9555,-1181358,-2986,-2545,-3237,-2703,-17495,-18319,-13070,0
10701,-85320,3713,-8811,-20047,-41107,-10812,-5642,-10701,85321,-3713,8811,20048,41107,10812,5642,1438983,16742,4378,1182,-8171,25168,37638,36283,64029,-171317,-15182,1638,-15655,-42494,-11535,-8033,-139902,-143973,-23273,-12054,-20984,-28659,-11251,-7792,-101,51547,-8702,22547,-6984,-24553,12063,1173,459860,-45030,-8058,21743,-5766,-19753,5838,10062,207684,-126091,2050,7924,-20519,-41814,-13138,-5773,1
-405449,-137881,-1954,-11059,-12094,-27625,-7879,-9849,405450,137881,1955,11060,12094,27626,7879,9850,1860670,-1239,42486,20026,69164,24990,54938,8283,4282,-91758,42034,-834,4319,-3276,29533,1476,-299416,14138,45904,6448,-1257,-9042,-7785,99,-235149,-86814,6241,135,20784,-17218,-7664,-7425,-322410,-126459,-6798,692,-4007,-24408,-12861,-9327,1183690,-103310,14413,11409,-3946,-6417,15832,-373,0
447563,-121883,-65394,-15797,-11483,-2785,-93830,-9727,-447563,121883,65395,15797,11483,2786,93830,9728,-835302,-224016,-79169,-30403,-24715,-13661,-85470,-13326,1146080,447217,93623,-822,21486,33251,-76620,-1208,-985829,-255013,-85172,-27351,-11392,-30928,-108455,-12771,-912070,-262192,-85696,-31938,-18635,-29974,-106846,-11088,-984915,-253967,-83208,1531,-11200,-16189,-100820,-6224,-990345,-272948,-67437,-15456,-15607,-22605,-104079,-7647,1
341358,18014,6935,-400,7024,-17206,-12673,-11091,-341358,-18014,-6934,401,-7023,17207,12673,11092,-596590,-78946,-16208,-24790,-1538,-16525,-13854,-11182,396967,35504,-9817,32588,1155,23858,12817,-1564,-672575,-86433,-14550,-29537,-12806,-12514,-22448,-18255,-376803,-77646,-16694,-29507,-16141,-25129,-26595,-18988,-290716,-30195,-6947,-21685,6260,26622,2810,3774,-492521,111032,19255,-4430,-3870,-13112,-14289,-13061,1
4798,-60432,3646,-489,-12040,30222,15470,24121,-4798,60433,-3646,489,12040,-30222,-15470,-24121,-629436,-83762,-27820,-20562,-29785,-36707,-26150,-25666,-701970,-91833,-34962,-15990,-22352,-11928,-4166,-18037,-644823,-82803,-30749,-12528,-22266,-39476,-22752,-27882,-688030,-95779,-32545,-17029,-28673,-41691,-27980,-27656,-712953,-96640,-34343,-9586,-29209,-43931,-28327,-27622,-661788,-59672,-18261,-1377,-15587,-6931,-14846,-14665,1
-536871,-16977,-17366,-34224,-12003,-19596,-33345,-4234,536871,16977,17367,34224,12003,19597,33346,4235,-920366,-25602,7226,-18826,7592,28013,-4364,5459,-945795,-17883,-16149,-22776,-6446,-16388,-34005,-5214,-1284941,1460,9432,-23827,-13280,-19073,-27864,-2018,730468,6604,60695,-13282,61876,-11904,-26242,-2836,-964753,28114,-7880,-32089,-5213,-20769,-33306,-6434,1080421,39426,9974,3168,22608,41395,13223,40748,0
