delta_c0,theta_c0,lowalpha_c0,highalpha_c0,lowbeta_c0,highbeta_c0,lowgamma_c0,midgamma_c0,delta_c1,theta_c1,lowalpha_c1,highalpha_c1,lowbeta_c1,highbeta_c1,lowgamma_c1,midgamma_c1,delta_c2,theta_c2,lowalpha_c2,highalpha_c2,lowbeta_c2,highbeta_c2,lowgamma_c2,midgamma_c2,delta_c3,theta_c3,lowalpha_c3,highalpha_c3,lowbeta_c3,highbeta_c3,lowgamma_c3,midgamma_c3,delta_c4,theta_c4,lowalpha_c4,highalpha_c4,lowbeta_c4,highbeta_c4,lowgamma_c4,midgamma_c4,delta_c5,theta_c5,lowalpha_c5,highalpha_c5,lowbeta_c5,highbeta_c5,lowgamma_c5,midgamma_c5,delta_c6,theta_c6,lowalpha_c6,highalpha_c6,lowbeta_c6,highbeta_c6,lowgamma_c6,midgamma_c6,state
647175,-16980,-3540,-1100,-12296,-27774,4974,-9623,-647174,16980,3541,1101,12296,27775,-4973,9624,-1028880,-96780,-16401,-18962,-13340,-30763,-24308,-14735,-101234,19349,-24384,-11677,21184,-26676,-18594,-13970,-1051701,-101836,-28247,-23475,-18099,-41432,-25522,-16064,-992999,-96790,-27479,-20888,-16985,-41066,-25126,-15979,-922637,-88546,-32512,-18269,-8655,-38285,-22834,-13419,0
49020,3201,727,-9096,787,-4704,-1973,-1824,-49019,-3200,-726,9096,-786,4704,1974,1825,223546,179776,54813,67708,15079,11698,19939,23559,291905,151566,13813,5429,20888,-1653,-1380,1166,-13795,4792,7203,-10288,-4338,-6540,-3294,-1654,30479,18412,-354,-10555,-3920,-6119,-3609,-2359,139878,-128,-2347,-10332,300,-2748,-1182,1772,0
-105814,-145753,-67585,-11744,-28664,-31403,-33251,-2097,105815,145754,67586,11745,28664,31404,33251,2097,269505,-15981,-54990,-2326,-16592,6996,-3310,-8664,-248890,-155366,-61321,31903,-46142,-24054,-17141,-7641,-300532,-162649,-71942,-18078,-46292,-34791,-36929,-15812,-319452,-156367,-74827,-14739,-42366,-31055,-33441,-8677,-252167,-167442,-69671,-18616,-46919,-36195,-37240,-14305,1
527853,143824,12201,9797,4553,8154,5488,2857,-527853,-143823,-12201,-9797,-4553,-8153,-5487,-2856,-512008,-128278,-11169,-4336,-2482,-2804,-2310,-2111,-20142,375558,273075,337399,168867,97641,86876,21642,-263021,-121970,-11749,-5081,-4953,-7846,-6054,-4139,-537272,-140444,-9796,-4991,-6543,-694,9876,-2260,-476135,-127645,-13992,-8557,-6512,-8935,-5862,-3812,1
-34541,-15223,-7094,-6527,-6552,-3297,-1234,-3517,34542,15223,7095,6527,6552,3297,1235,3517,-14215,3767,-7596,-4075,-2374,-2950,801,-3211,25373,48377,-8113,-6192,-1660,-1919,1135,-1127,93189,31297,-8851,-5255,-4871,-143,358,-2692,-50638,-6923,-6683,-5676,-5019,4676,2899,1520,168987,-9111,-285,-2821,-4878,-734,492,-2996,1
112931,11595,-1984,4077,-3467,-1278,-2723,-1465,-112930,-11594,1985,-4076,3468,1278,2724,1466,-6300,-16241,-12209,-8621,-3932,-4272,-3491,-2859,322869,-27343,-6064,17217,-717,-921,2823,-1080,180168,-33731,-7704,-1286,-1497,8259,1287,1491,-124176,-43722,-12022,-7087,-5128,-3561,-3101,-2589,-95282,-30822,-11270,3082,-4132,-2316,-714,-682,1
-137567,-15940,-6443,-13750,-13224,-2458,-1380,-5161,137568,15940,6443,13750,13224,2459,1381,5161,-78366,-31151,-7678,-19709,-13274,-2682,-5485,-5050,696434,-12636,80062,20686,13339,2858,1419,2298,1255463,7672,-5400,-15556,-6768,1251,-2630,-3994,-159628,-31582,-5964,-17313,-10472,-872,-3136,-2821,-145418,-21952,-3930,-6500,284,7178,789,6200,0
-778651,-182410,-20135,-27992,-30367,-11401,-5759,-8063,778652,182410,20135,27992,30368,11401,5759,8064,152463,-12244,-21282,-12931,-8638,4382,-5313,-6575,660513,-49644,-13021,-40341,-14828,12831,-8843,-1445,-629081,-130680,-29828,-9299,-28111,-5786,-14068,-6685,-853315,-186295,-26496,-17054,-29241,-8360,-17272,-10655,-856666,-176992,-12666,-21069,-31535,-9364,-13990,-13003,0
-180576,-29956,-10753,5131,-4690,-4972,2069,-6942,180576,29957,10754,-5130,4691,4972,-2068,6942,561066,-39488,20183,4045,5,1505,-7885,-7652,113029,-37570,-14658,-13770,-12329,-17491,-14018,-9795,-184730,-20383,-14987,-10746,-6987,-6743,-11856,-8513,1056815,24644,16461,1152,-4486,-4313,-3051,4073,-271988,-36181,-15008,-7494,-4794,-3052,7110,-783,0
-484010,1180,-4635,-6573,5145,-1152,-5894,-2575,484010,-1179,4635,6574,-5144,1152,5895,2575,-574631,-12930,-9535,-11065,-12395,-3980,-9295,-2988,-573433,-9089,-7850,-12139,-12238,-5410,-11566,-1087,-492810,-6781,-9975,-3374,-6268,2700,-6669,-602,-617649,-7318,-13495,-2300,-11053,-5796,-9641,350,-623787,-12017,-6301,-12583,-7756,-6695,-10611,-508,1
-25431,9319,4092,413,876,2695,2957,1204,25432,-9318,-4092,-413,-875,-2694,-2956,-1204,-60303,-10989,-4925,4339,-2154,-3479,-3880,-670,1662977,390160,15642,-289,16722,2047,-3143,4683,-30439,-37206,-5111,-3892,-2228,-3787,-4407,-1849,39854,66912,-2847,3591,5839,18073,-2529,3025,-40643,-26611,-2125,-3100,-1047,-2978,-3541,-683,0
