delta,midgamma,lowgamma,theta,highalpha,lowalpha,highbeta,lowbeta,state
530970-497396-2822203-1965826-1761969-384376-845761-988200,167050-362677-541147-653652-426697-276993-218255-80468,53294-29126-134264-32281-152839-17785-10557-1683,20441-38045-45932-45111-59545-11229-25336-11558,8406-14525-44314-27878-63360-7081-12767-8435,7088-8797-62565-47478-69554-15623-11897-11506,6615-5851-49247-58641-54612-4689-13269-3809,1343-2963-11882-13662-11640-3491-1702-2617,easy
497396-2822203-1965826-1761969-384376-845761-988200-1121507,362677-541147-653652-426697-276993-218255-80468-68626,29126-134264-32281-152839-17785-10557-1683-19336,38045-45932-45111-59545-11229-25336-11558-30848,14525-44314-27878-63360-7081-12767-8435-6647,8797-62565-47478-69554-15623-11897-11506-10969,5851-49247-58641-54612-4689-13269-3809-9107,2963-11882-13662-11640-3491-1702-2617-1361,easy
2822203-1965826-1761969-384376-845761-988200-1121507-245730,541147-653652-426697-276993-218255-80468-68626-91507,134264-32281-152839-17785-10557-1683-19336-18757,45932-45111-59545-11229-25336-11558-30848-14568,44314-27878-63360-7081-12767-8435-6647-11637,62565-47478-69554-15623-11897-11506-10969-13857,49247-58641-54612-4689-13269-3809-9107-10203,11882-13662-11640-3491-1702-2617-1361-3257,easy
1965826-1761969-384376-845761-988200-1121507-245730-267251,653652-426697-276993-218255-80468-68626-91507-100125,32281-152839-17785-10557-1683-19336-18757-556,45111-59545-11229-25336-11558-30848-14568-7208,27878-63360-7081-12767-8435-6647-11637-3584,47478-69554-15623-11897-11506-10969-13857-9465,58641-54612-4689-13269-3809-9107-10203-16004,13662-11640-3491-1702-2617-1361-3257-3107,easy
1761969-384376-845761-988200-1121507-245730-267251-668834,426697-276993-218255-80468-68626-91507-100125-915806,152839-17785-10557-1683-19336-18757-556-51712,59545-11229-25336-11558-30848-14568-7208-65324,63360-7081-12767-8435-6647-11637-3584-16493,69554-15623-11897-11506-10969-13857-9465-21797,54612-4689-13269-3809-9107-10203-16004-57494,11640-3491-1702-2617-1361-3257-3107-12191,hard
384376-845761-988200-1121507-245730-267251-668834-423113,276993-218255-80468-68626-91507-100125-915806-280744,17785-10557-1683-19336-18757-556-51712-74900,11229-25336-11558-30848-14568-7208-65324-13207,7081-12767-8435-6647-11637-3584-16493-9356,15623-11897-11506-10969-13857-9465-21797-14504,4689-13269-3809-9107-10203-16004-57494-4919,3491-1702-2617-1361-3257-3107-12191-2056,easy
845761-988200-1121507-245730-267251-668834-423113-140690,218255-80468-68626-91507-100125-915806-280744-47044,10557-1683-19336-18757-556-51712-74900-7167,25336-11558-30848-14568-7208-65324-13207-2511,12767-8435-6647-11637-3584-16493-9356-4866,11897-11506-10969-13857-9465-21797-14504-3569,13269-3809-9107-10203-16004-57494-4919-3943,1702-2617-1361-3257-3107-12191-2056-1138,easy
988200-1121507-245730-267251-668834-423113-140690-408380,80468-68626-91507-100125-915806-280744-47044-10636,1683-19336-18757-556-51712-74900-7167-15788,11558-30848-14568-7208-65324-13207-2511-7657,8435-6647-11637-3584-16493-9356-4866-1445,11506-10969-13857-9465-21797-14504-3569-1937,3809-9107-10203-16004-57494-4919-3943-1986,2617-1361-3257-3107-12191-2056-1138-1401,easy
1121507-245730-267251-668834-423113-140690-408380-694024,68626-91507-100125-915806-280744-47044-10636-612542,19336-18757-556-51712-74900-7167-15788-370524,30848-14568-7208-65324-13207-2511-7657-44696,6647-11637-3584-16493-9356-4866-1445-71886,10969-13857-9465-21797-14504-3569-1937-40500,9107-10203-16004-57494-4919-3943-1986-92473,1361-3257-3107-12191-2056-1138-1401-13859,easy
245730-267251-668834-423113-140690-408380-694024-1120455,91507-100125-915806-280744-47044-10636-612542-406602,18757-556-51712-74900-7167-15788-370524-11503,14568-7208-65324-13207-2511-7657-44696-8684,11637-3584-16493-9356-4866-1445-71886-14344,13857-9465-21797-14504-3569-1937-40500-10364,10203-16004-57494-4919-3943-1986-92473-15408,3257-3107-12191-2056-1138-1401-13859-3461,easy
267251-668834-423113-140690-408380-694024-1120455-128209,100125-915806-280744-47044-10636-612542-406602-15914,556-51712-74900-7167-15788-370524-11503-2622,7208-65324-13207-2511-7657-44696-8684-9058,3584-16493-9356-4866-1445-71886-14344-2325,9465-21797-14504-3569-1937-40500-10364-2273,16004-57494-4919-3943-1986-92473-15408-2714,3107-12191-2056-1138-1401-13859-3461-744,easy
668834-423113-140690-408380-694024-1120455-128209-235181,915806-280744-47044-10636-612542-406602-15914-288222,51712-74900-7167-15788-370524-11503-2622-7248,65324-13207-2511-7657-44696-8684-9058-11118,16493-9356-4866-1445-71886-14344-2325-8049,21797-14504-3569-1937-40500-10364-2273-11097,57494-4919-3943-1986-92473-15408-2714-4846,12191-2056-1138-1401-13859-3461-744-3687,easy
423113-140690-408380-694024-1120455-128209-235181-658031,280744-47044-10636-612542-406602-15914-288222-753825,74900-7167-15788-370524-11503-2622-7248-68193,13207-2511-7657-44696-8684-9058-11118-99010,9356-4866-1445-71886-14344-2325-8049-28623,14504-3569-1937-40500-10364-2273-11097-22568,4919-3943-1986-92473-15408-2714-4846-9996,2056-1138-1401-13859-3461-744-3687-8838,easy
140690-408380-694024-1120455-128209-235181-658031-2213930,47044-10636-612542-406602-15914-288222-753825-90262,7167-15788-370524-11503-2622-7248-68193-66473,2511-7657-44696-8684-9058-11118-99010-49433,4866-1445-71886-14344-2325-8049-28623-23160,3569-1937-40500-10364-2273-11097-22568-16064,3943-1986-92473-15408-2714-4846-9996-6026,1138-1401-13859-3461-744-3687-8838-5782,easy
408380-694024-1120455-128209-235181-658031-2213930-380065,10636-612542-406602-15914-288222-753825-90262-187057,15788-370524-11503-2622-7248-68193-66473-64868,7657-44696-8684-9058-11118-99010-49433-14364,1445-71886-14344-2325-8049-28623-23160-21956,1937-40500-10364-2273-11097-22568-16064-24600,1986-92473-15408-2714-4846-9996-6026-19513,1401-13859-3461-744-3687-8838-5782-8946,hard
694024-1120455-128209-235181-658031-2213930-380065-3069712,612542-406602-15914-288222-753825-90262-187057-383582,370524-11503-2622-7248-68193-66473-64868-71563,44696-8684-9058-11118-99010-49433-14364-64871,71886-14344-2325-8049-28623-23160-21956-54599,40500-10364-2273-11097-22568-16064-24600-40900,92473-15408-2714-4846-9996-6026-19513-13833,13859-3461-744-3687-8838-5782-8946-27190,easy
1120455-128209-235181-658031-2213930-380065-3069712-362847,406602-15914-288222-753825-90262-187057-383582-252167,11503-2622-7248-68193-66473-64868-71563-63215,8684-9058-11118-99010-49433-14364-64871-8130,14344-2325-8049-28623-23160-21956-54599-21205,10364-2273-11097-22568-16064-24600-40900-8120,15408-2714-4846-9996-6026-19513-13833-11314,3461-744-3687-8838-5782-8946-27190-6663,easy
128209-235181-658031-2213930-380065-3069712-362847-347125,15914-288222-753825-90262-187057-383582-252167-66186,2622-7248-68193-66473-64868-71563-63215-2261,9058-11118-99010-49433-14364-64871-8130-6946,2325-8049-28623-23160-21956-54599-21205-3491,2273-11097-22568-16064-24600-40900-8120-6539,2714-4846-9996-6026-19513-13833-11314-2939,744-3687-8838-5782-8946-27190-6663-1555,easy
235181-658031-2213930-380065-3069712-362847-347125-1120078,288222-753825-90262-187057-383582-252167-66186-101851,7248-68193-66473-64868-71563-63215-2261-22264,11118-99010-49433-14364-64871-8130-6946-18952,8049-28623-23160-21956-54599-21205-3491-28069,11097-22568-16064-24600-40900-8120-6539-8252,4846-9996-6026-19513-13833-11314-2939-8421,3687-8838-5782-8946-27190-6663-1555-3776,hard
658031-2213930-380065-3069712-362847-347125-1120078-626775,753825-90262-187057-383582-252167-66186-101851-88180,68193-66473-64868-71563-63215-2261-22264-19106,99010-49433-14364-64871-8130-6946-18952-28030,28623-23160-21956-54599-21205-3491-28069-6159,22568-16064-24600-40900-8120-6539-8252-24470,9996-6026-19513-13833-11314-2939-8421-7438,8838-5782-8946-27190-6663-1555-3776-4044,easy
2213930-380065-3069712-362847-347125-1120078-626775-991577,90262-187057-383582-252167-66186-101851-88180-88842,66473-64868-71563-63215-2261-22264-19106-16145,49433-14364-64871-8130-6946-18952-28030-25054,23160-21956-54599-21205-3491-28069-6159-33666,16064-24600-40900-8120-6539-8252-24470-15658,6026-19513-13833-11314-2939-8421-7438-11393,5782-8946-27190-6663-1555-3776-4044-6072,easy
380065-3069712-362847-347125-1120078-626775-991577-1208626,187057-383582-252167-66186-101851-88180-88842-112892,64868-71563-63215-2261-22264-19106-16145-46185,14364-64871-8130-6946-18952-28030-25054-52878,21956-54599-21205-3491-28069-6159-33666-53789,24600-40900-8120-6539-8252-24470-15658-16744,19513-13833-11314-2939-8421-7438-11393-31083,8946-27190-6663-1555-3776-4044-6072-7483,hard
3069712-362847-347125-1120078-626775-991577-1208626-2287247,383582-252167-66186-101851-88180-88842-112892-184425,71563-63215-2261-22264-19106-16145-46185-76447,64871-8130-6946-18952-28030-25054-52878-89495,54599-21205-3491-28069-6159-33666-53789-130737,40900-8120-6539-8252-24470-15658-16744-138007,13833-11314-2939-8421-7438-11393-31083-47155,27190-6663-1555-3776-4044-6072-7483-23941,easy
362847-347125-1120078-626775-991577-1208626-2287247-402503,252167-66186-101851-88180-88842-112892-184425-182542,63215-2261-22264-19106-16145-46185-76447-21825,8130-6946-18952-28030-25054-52878-89495-29146,21205-3491-28069-6159-33666-53789-130737-5251,8120-6539-8252-24470-15658-16744-138007-14030,11314-2939-8421-7438-11393-31083-47155-4539,6663-1555-3776-4044-6072-7483-23941-4528,easy
347125-1120078-626775-991577-1208626-2287247-402503-1110583,66186-101851-88180-88842-112892-184425-182542-526759,2261-22264-19106-16145-46185-76447-21825-123718,6946-18952-28030-25054-52878-89495-29146-78304,3491-28069-6159-33666-53789-130737-5251-41978,6539-8252-24470-15658-16744-138007-14030-40320,2939-8421-7438-11393-31083-47155-4539-53487,1555-3776-4044-6072-7483-23941-4528-31296,easy
1120078-626775-991577-1208626-2287247-402503-1110583-1490335,101851-88180-88842-112892-184425-182542-526759-99466,22264-19106-16145-46185-76447-21825-123718-20291,18952-28030-25054-52878-89495-29146-78304-14878,28069-6159-33666-53789-130737-5251-41978-18049,8252-24470-15658-16744-138007-14030-40320-20376,8421-7438-11393-31083-47155-4539-53487-5815,3776-4044-6072-7483-23941-4528-31296-6723,easy
626775-991577-1208626-2287247-402503-1110583-1490335-98213,88180-88842-112892-184425-182542-526759-99466-69169,19106-16145-46185-76447-21825-123718-20291-11092,28030-25054-52878-89495-29146-78304-14878-7543,6159-33666-53789-130737-5251-41978-18049-5055,24470-15658-16744-138007-14030-40320-20376-1938,7438-11393-31083-47155-4539-53487-5815-1670,4044-6072-7483-23941-4528-31296-6723-1551,easy
991577-1208626-2287247-402503-1110583-1490335-98213-1678277,88842-112892-184425-182542-526759-99466-69169-79651,16145-46185-76447-21825-123718-20291-11092-1301,25054-52878-89495-29146-78304-14878-7543-19114,33666-53789-130737-5251-41978-18049-5055-10173,15658-16744-138007-14030-40320-20376-1938-13407,11393-31083-47155-4539-53487-5815-1670-5628,6072-7483-23941-4528-31296-6723-1551-3844,hard
1208626-2287247-402503-1110583-1490335-98213-1678277-867273,112892-184425-182542-526759-99466-69169-79651-122657,46185-76447-21825-123718-20291-11092-1301-36965,52878-89495-29146-78304-14878-7543-19114-11984,53789-130737-5251-41978-18049-5055-10173-7800,16744-138007-14030-40320-20376-1938-13407-14510,31083-47155-4539-53487-5815-1670-5628-12143,7483-23941-4528-31296-6723-1551-3844-3173,easy
2287247-402503-1110583-1490335-98213-1678277-867273-710524,184425-182542-526759-99466-69169-79651-122657-88442,76447-21825-123718-20291-11092-1301-36965-63419,89495-29146-78304-14878-7543-19114-11984-48485,130737-5251-41978-18049-5055-10173-7800-14325,138007-14030-40320-20376-1938-13407-14510-27846,47155-4539-53487-5815-1670-5628-12143-12556,23941-4528-31296-6723-1551-3844-3173-4990,easy
402503-1110583-1490335-98213-1678277-867273-710524-367261,182542-526759-99466-69169-79651-122657-88442-234256,21825-123718-20291-11092-1301-36965-63419-18377,29146-78304-14878-7543-19114-11984-48485-40320,5251-41978-18049-5055-10173-7800-14325-10331,14030-40320-20376-1938-13407-14510-27846-11290,4539-53487-5815-1670-5628-12143-12556-16303,4528-31296-6723-1551-3844-3173-4990-8335,easy
1110583-1490335-98213-1678277-867273-710524-367261-1491727,526759-99466-69169-79651-122657-88442-234256-210070,123718-20291-11092-1301-36965-63419-18377-53205,78304-14878-7543-19114-11984-48485-40320-12069,41978-18049-5055-10173-7800-14325-10331-15623,40320-20376-1938-13407-14510-27846-11290-13026,53487-5815-1670-5628-12143-12556-16303-14273,31296-6723-1551-3844-3173-4990-8335-2263,easy
1490335-98213-1678277-867273-710524-367261-1491727-935864,99466-69169-79651-122657-88442-234256-210070-610148,20291-11092-1301-36965-63419-18377-53205-35937,14878-7543-19114-11984-48485-40320-12069-26817,18049-5055-10173-7800-14325-10331-15623-39863,20376-1938-13407-14510-27846-11290-13026-53208,5815-1670-5628-12143-12556-16303-14273-36803,6723-1551-3844-3173-4990-8335-2263-8762,easy
98213-1678277-867273-710524-367261-1491727-935864-435429,69169-79651-122657-88442-234256-210070-610148-628846,11092-1301-36965-63419-18377-53205-35937-55600,7543-19114-11984-48485-40320-12069-26817-18630,5055-10173-7800-14325-10331-15623-39863-77382,1938-13407-14510-27846-11290-13026-53208-83335,1670-5628-12143-12556-16303-14273-36803-32995,1551-3844-3173-4990-8335-2263-8762-16895,easy
